Job ID,Job Name,Submit,Start,End,Runtime / h,Scheduling Coefficient,Job Size / Nodes,Charged Usage / CUs,Raw Usage / CUs
1815140,u-ch427-n96-start-paper-20.atmos_main.19880901T0000Z,2022-06-13 19:50:45,2022-06-14 04:35:47,2022-06-14 04:39:45,0:03:58,0.007,83,0,5.487
1815141,u-ch427-n96-start-paper-30.atmos_main.19880901T0000Z,2022-06-13 19:51:01,2022-06-14 04:44:28,2022-06-14 04:49:40,0:05:12,0.01,123,0,10.66
1815153,u-ch427-n96-start-paper-50.atmos_main.19880901T0000Z,2022-06-13 19:56:23,2022-06-14 03:24:40,2022-06-14 03:29:56,0:05:16,0.012,203,0,17.819
1815154,u-ch427-n96-start-paper-100.atmos_main.19880901T0000Z,2022-06-13 19:56:50,2022-06-14 03:59:08,2022-06-14 04:04:18,0:05:10,0.011,403,0,34.703
1815155,u-ch427-n96-start-paper-150.atmos_main.19880901T0000Z,2022-06-13 19:57:10,2022-06-14 04:43:54,2022-06-14 04:44:09,0:00:15,0,603,0,2.512
1815249,u-ch427-n96-start-paper-10.atmos_main.19880901T0000Z,2022-06-13 20:17:24,2022-06-14 03:15:31,2022-06-14 03:18:35,0:03:04,0.007,43,0,2.198
1815254,u-ch427-n216-start-paper-00.atmos_main.19880901T0000Z,2022-06-13 20:20:45,2022-06-14 02:50:31,2022-06-14 02:53:18,0:02:47,0.007,22,0,1.021
1815256,u-ch427-n216-start-paper-01.atmos_main.19880901T0000Z,2022-06-13 20:21:07,2022-06-14 02:53:50,2022-06-14 02:57:20,0:03:30,0.009,22,0,1.283
1814965,u-ch427-n512-template-start-paper-00.atmos_main.19880901T0000Z,2022-06-13 19:14:12,2022-06-14 04:01:28,2022-06-14 05:35:07,1:33:39,0.151,75,0,117.062
1815197,u-ch427-n96-start-paper-200.atmos_main.19880901T0000Z,2022-06-13 20:07:05,2022-06-14 06:24:32,2022-06-14 06:24:46,0:00:14,0,803,0,3.123
1815258,u-ch427-n216-start-paper-50.atmos_main.19880901T0000Z,2022-06-13 20:22:38,2022-06-14 06:25:03,2022-06-14 06:55:12,0:30:09,0.048,708,0,355.77
1815347,u-ch427-n216-start-paper-20.atmos_main.19880901T0000Z,2022-06-13 20:42:35,2022-06-14 06:53:06,2022-06-14 07:23:18,0:30:12,0.047,288,0,144.96
1815397,u-ch427-n216-start-paper-30.atmos_main.19880901T0000Z,2022-06-13 20:56:26,2022-06-14 06:55:43,2022-06-14 07:08:20,0:12:37,0.021,428,0,89.999
1819462,u-ch427-n512-template-start-paper-00.atmos_main.19880901T0000Z,2022-06-14 14:53:51,2022-06-14 14:54:06,2022-06-14 16:28:05,1:33:59,0.997,75,0,117.479
1819479,u-ch427-n216-start-paper-20.atmos_main.19880901T0000Z,2022-06-14 14:56:27,2022-06-14 15:00:05,2022-06-14 15:09:09,0:09:04,0.714,288,0,43.52
1819482,u-ch427-n216-start-paper-50.atmos_main.19880901T0000Z,2022-06-14 14:57:32,2022-06-15 00:15:16,2022-06-15 00:45:39,0:30:23,0.052,708,0,358.523
1819485,u-ch427-n96-start-paper-30.atmos_main.19880901T0000Z,2022-06-14 14:58:33,2022-06-14 14:59:06,2022-06-14 15:04:34,0:05:28,0.909,123,0,11.207
1819487,u-ch427-n96-start-paper-50.atmos_main.19880901T0000Z,2022-06-14 14:59:11,2022-06-14 16:48:50,2022-06-14 16:48:56,0:00:06,0.001,203,0,0.338
1819488,u-ch427-n96-start-paper-100.atmos_main.19880901T0000Z,2022-06-14 14:59:21,2022-06-14 21:17:48,2022-06-14 21:17:56,0:00:08,0,403,0,0.896
1819517,u-ch427-n512-start-paper-00.install_cold.19880901T0000Z,2022-06-14 15:03:45,2022-06-14 15:03:46,2022-06-14 15:04:04,0:00:18,0.947,1,0.005,0.005
1819518,u-ch427-n512-start-paper-00.xml.19880901T0000Z,2022-06-14 15:03:45,2022-06-14 15:04:00,2022-06-14 15:04:17,0:00:17,0.531,1,0.005,0.005
1819519,u-ch427-n512-start-paper-00.fcm_make2_drivers.19880901T0000Z,2022-06-14 15:04:02,2022-06-14 15:04:58,2022-06-14 15:05:12,0:00:14,0.2,1,0.004,0.004
1819521,u-ch427-n512-start-paper-01.ens_setup_all.19880901T0000Z,2022-06-14 15:04:27,2022-06-14 15:04:58,2022-06-14 15:05:17,0:00:19,0.38,1,0.005,0.005
1819522,u-ch427-n512-start-paper-01.install_cold.19880901T0000Z,2022-06-14 15:04:27,2022-06-14 15:04:28,2022-06-14 15:04:37,0:00:09,0.9,1,0.002,0.002
1819523,u-ch427-n512-start-paper-01.xml.19880901T0000Z,2022-06-14 15:04:27,2022-06-14 15:04:58,2022-06-14 15:05:12,0:00:14,0.311,1,0.004,0.004
1819526,u-ch427-n512-start-paper-00.fcm_make2_um.19880901T0000Z,2022-06-14 15:04:37,2022-06-14 15:04:58,2022-06-14 15:13:33,0:08:35,0.961,1,0.143,0.143
1819527,u-ch427-n512-start-paper-01.fcm_make2_drivers.19880901T0000Z,2022-06-14 15:04:39,2022-06-14 15:04:58,2022-06-14 15:05:12,0:00:14,0.424,1,0.004,0.004
1819528,u-ch427-n512-start-paper-10.ens_setup_all.19880901T0000Z,2022-06-14 15:04:48,2022-06-14 15:04:58,2022-06-14 15:06:00,0:01:02,0.861,1,0.017,0.017
1819529,u-ch427-n512-start-paper-10.install_cold.19880901T0000Z,2022-06-14 15:04:48,2022-06-14 15:04:49,2022-06-14 15:04:59,0:00:10,0.909,1,0.003,0.003
1819530,u-ch427-n512-start-paper-10.xml.19880901T0000Z,2022-06-14 15:04:48,2022-06-14 15:05:58,2022-06-14 15:06:10,0:00:12,0.146,1,0.003,0.003
1819531,u-ch427-n512-start-paper-01.fcm_make2_um.19880901T0000Z,2022-06-14 15:04:57,2022-06-14 15:05:58,2022-06-14 15:14:48,0:08:50,0.897,1,0.147,0.147
1819532,u-ch427-n512-start-paper-10.fcm_make2_drivers.19880901T0000Z,2022-06-14 15:05:07,2022-06-14 15:06:57,2022-06-14 15:07:11,0:00:14,0.113,1,0.004,0.004
1819534,u-ch427-n512-start-paper-20.ens_setup_all.19880901T0000Z,2022-06-14 15:05:17,2022-06-14 15:06:57,2022-06-14 15:09:06,0:02:09,0.563,1,0.036,0.036
1819536,u-ch427-n512-start-paper-20.install_cold.19880901T0000Z,2022-06-14 15:05:17,2022-06-14 15:05:22,2022-06-14 15:05:31,0:00:09,0.643,1,0.002,0.002
