Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-start-paper-x0-25, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 636M ,650492
, true.x0_01.nc, 693M ,709504
, true.x0_02.nc, 721M ,737888
, true.x0_03.nc, 732M ,748900
, true.x0_04.nc, 700M ,716132
, true.x0_05.nc, 702M ,718412
, true.x0_06.nc, 699M ,715520
, true.x0_07.nc, 691M ,707020
, true.x0_08.nc, 694M ,710472
, true.x0_09.nc, 703M ,719680
, true.x0_10.nc, 706M ,722384
, true.x0_11.nc, 704M ,719976
, true.x0_12.nc, 697M ,713320
, true.x0_13.nc, 694M ,710140
, true.x0_14.nc, 678M ,693480
, true.x0_15.nc, 624M ,638076
u-ch427-n216-start-paper-x0-25,,Total Size,11331404

