Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-template-start-paper-ms-x0-prec, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.4K ,4
, mean_00.nc, 636M ,650404
, mean_01.nc, 693M ,709516
, mean_02.nc, 721M ,738004
, mean_03.nc, 732M ,749032
, mean_04.nc, 700M ,716340
, mean_05.nc, 702M ,718448
, mean_06.nc, 699M ,715204
, mean_07.nc, 691M ,707396
, mean_08.nc, 695M ,711584
, mean_09.nc, 704M ,720192
, mean_10.nc, 706M ,722816
, mean_11.nc, 704M ,720356
, mean_12.nc, 698M ,713836
, mean_13.nc, 695M ,710756
, mean_14.nc, 678M ,693800
, mean_15.nc, 624M ,638640
, stdev_00.nc, 751M ,768612
, stdev_01.nc, 780M ,797996
, stdev_02.nc, 792M ,810076
, stdev_03.nc, 795M ,813896
, stdev_04.nc, 760M ,777532
, stdev_05.nc, 760M ,777340
, stdev_06.nc, 757M ,774968
, stdev_07.nc, 756M ,773972
, stdev_08.nc, 760M ,777724
, stdev_09.nc, 761M ,778948
, stdev_10.nc, 761M ,779236
, stdev_11.nc, 761M ,779132
, stdev_12.nc, 760M ,777268
, stdev_13.nc, 759M ,776236
, stdev_14.nc, 750M ,767172
, stdev_15.nc, 724M ,741020
u-ch427-n216-template-start-paper-ms-x0-prec,,Total Size,23807460

