Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-start-paper-ms-x0-prec-01-2, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.4K ,4
, mean_00.nc, 1.7G ,1707548
, mean_01.nc, 1.8G ,1865548
, mean_02.nc, 1.9G ,1946700
, mean_03.nc, 2.0G ,2007204
, mean_04.nc, 2.0G ,2051788
, mean_05.nc, 2.0G ,2086952
, mean_06.nc, 2.1G ,2102064
, mean_07.nc, 2.1G ,2099776
, mean_08.nc, 2.1G ,2102076
, mean_09.nc, 2.1G ,2112416
, mean_10.nc, 2.1G ,2107064
, mean_11.nc, 2.1G ,2107168
, mean_12.nc, 2.0G ,2095436
, mean_13.nc, 2.0G ,2084452
, mean_14.nc, 2.0G ,2084152
, mean_15.nc, 2.0G ,2097092
, mean_16.nc, 2.1G ,2121148
, mean_17.nc, 2.1G ,2124896
, mean_18.nc, 2.0G ,2045016
, mean_19.nc, 2.0G ,2047496
, mean_20.nc, 2.0G ,2049012
, mean_21.nc, 2.0G ,2041216
, mean_22.nc, 2.0G ,2023928
, mean_23.nc, 2.0G ,2014076
, mean_24.nc, 2.0G ,2012344
, mean_25.nc, 2.0G ,1997576
, mean_26.nc, 1.9G ,1967396
, mean_27.nc, 1.9G ,1926272
, mean_28.nc, 1.8G ,1847212
, mean_29.nc, 1.7G ,1693128
, stdev_00.nc,  13M ,13132
, stdev_01.nc,  13M ,13132
, stdev_02.nc,  13M ,13132
, stdev_03.nc,  13M ,13136
, stdev_04.nc,  13M ,13132
, stdev_05.nc,  13M ,13132
, stdev_06.nc,  13M ,13136
, stdev_07.nc,  13M ,13132
, stdev_08.nc,  13M ,13132
, stdev_09.nc,  13M ,13132
, stdev_10.nc,  13M ,13136
, stdev_11.nc,  13M ,13136
, stdev_12.nc,  13M ,13132
, stdev_13.nc,  13M ,13132
, stdev_14.nc,  13M ,13136
, stdev_15.nc,  13M ,13132
, stdev_16.nc,  13M ,13136
, stdev_17.nc,  13M ,13136
, stdev_18.nc,  13M ,12652
, stdev_19.nc,  13M ,12644
, stdev_20.nc,  13M ,12644
, stdev_21.nc,  13M ,12640
, stdev_22.nc,  13M ,12644
, stdev_23.nc,  13M ,12640
, stdev_24.nc,  13M ,12644
, stdev_25.nc,  13M ,12644
, stdev_26.nc,  13M ,12640
, stdev_27.nc,  13M ,12644
, stdev_28.nc,  13M ,12640
, stdev_29.nc,  13M ,12640
u-ch427-n512-start-paper-ms-x0-prec-01-2,,Total Size,60956280

