Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper-x0, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 4.1G ,4253844
, true.x0_01.nc, 4.3G ,4412568
, true.x0_02.nc, 4.3G ,4492760
, true.x0_03.nc, 4.4G ,4567884
, true.x0_04.nc, 4.5G ,4615188
, true.x0_05.nc, 4.5G ,4645232
, true.x0_06.nc, 4.5G ,4659216
, true.x0_07.nc, 4.5G ,4657920
, true.x0_08.nc, 4.5G ,4660236
, true.x0_09.nc, 4.5G ,4674428
, true.x0_10.nc, 4.5G ,4669516
, true.x0_11.nc, 4.5G ,4668820
, true.x0_12.nc, 4.5G ,4656272
, true.x0_13.nc, 4.5G ,4646652
, true.x0_14.nc, 4.5G ,4644040
, true.x0_15.nc, 4.5G ,4653940
, true.x0_16.nc, 4.5G ,4680952
, true.x0_17.nc, 4.5G ,4691088
, true.x0_18.nc, 4.4G ,4516920
, true.x0_19.nc, 4.4G ,4521640
, true.x0_20.nc, 4.4G ,4521684
, true.x0_21.nc, 4.4G ,4510892
, true.x0_22.nc, 4.3G ,4492508
, true.x0_23.nc, 4.3G ,4484480
, true.x0_24.nc, 4.3G ,4483944
, true.x0_25.nc, 4.3G ,4469256
, true.x0_26.nc, 4.3G ,4439812
, true.x0_27.nc, 4.2G ,4399552
, true.x0_28.nc, 4.2G ,4316444
, true.x0_29.nc, 4.0G ,4147616
u-ch427-n512-template-start-paper-x0,,Total Size,136255312

