Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ms-x0-prec-07, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, mean_0.nc, 364M ,372544
, mean_1.nc, 379M ,387548
, mean_2.nc, 379M ,387356
, mean_3.nc, 383M ,391480
, mean_4.nc, 382M ,390816
, mean_5.nc, 366M ,374028
, stdev_0.nc, 387M ,395392
, stdev_1.nc, 397M ,405608
, stdev_2.nc, 398M ,406760
, stdev_3.nc, 400M ,409508
, stdev_4.nc, 401M ,410380
, stdev_5.nc, 392M ,400504
u-ch427-n96-start-paper-ms-x0-prec-07,,Total Size,4731932

