Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-x0-prec-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.4K ,4
, mean_0.nc, 364M ,372392
, mean_1.nc, 379M ,387404
, mean_2.nc, 379M ,387152
, mean_3.nc, 383M ,391404
, mean_4.nc, 382M ,390836
, mean_5.nc, 366M ,373912
, stdev_0.nc, 398M ,406868
, stdev_1.nc, 407M ,416136
, stdev_2.nc, 407M ,416324
, stdev_3.nc, 410M ,418900
, stdev_4.nc, 410M ,419816
, stdev_5.nc, 401M ,410160
u-ch427-n96-template-start-paper-ms-x0-prec-00,,Total Size,4791312

