Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-template-start-paper-x5-00,,,
u-ch427-n216-template-start-paper-x5-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-template-start-paper-x5-00,,,
u-ch427-n216-template-start-paper-x5-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-template-start-paper-x5-00,,,
u-ch427-n216-template-start-paper-x5-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-template-start-paper-x5-00,,,
u-ch427-n216-template-start-paper-x5-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-template-start-paper-x5-00,,,
u-ch427-n216-template-start-paper-x5-00,,Total Size,0

