Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens00,,,
u-ch427-n96-max18-single-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens01,,,
u-ch427-n96-max18-single-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens02,,,
u-ch427-n96-max18-single-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens03,,,
u-ch427-n96-max18-single-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens04,,,
u-ch427-n96-max18-single-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens05,,,
u-ch427-n96-max18-single-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens06,,,
u-ch427-n96-max18-single-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens07,,,
u-ch427-n96-max18-single-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens08,,,
u-ch427-n96-max18-single-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens09,,,
u-ch427-n96-max18-single-ens09,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens10,,,
u-ch427-n96-max18-single-ens10,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens11,,,
u-ch427-n96-max18-single-ens11,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens12,,,
u-ch427-n96-max18-single-ens12,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens13,,,
u-ch427-n96-max18-single-ens13,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens14,,,
u-ch427-n96-max18-single-ens14,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens15,,,
u-ch427-n96-max18-single-ens15,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens16,,,
u-ch427-n96-max18-single-ens16,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens17,,,
u-ch427-n96-max18-single-ens17,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens18,,,
u-ch427-n96-max18-single-ens18,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens00,,,
u-ch427-n96-max18-single-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens01,,,
u-ch427-n96-max18-single-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens02,,,
u-ch427-n96-max18-single-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens03,,,
u-ch427-n96-max18-single-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens04,,,
u-ch427-n96-max18-single-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens05,,,
u-ch427-n96-max18-single-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens06,,,
u-ch427-n96-max18-single-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens07,,,
u-ch427-n96-max18-single-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens08,,,
u-ch427-n96-max18-single-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens09,,,
u-ch427-n96-max18-single-ens09,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens10,,,
u-ch427-n96-max18-single-ens10,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens11,,,
u-ch427-n96-max18-single-ens11,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens12,,,
u-ch427-n96-max18-single-ens12,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens13,,,
u-ch427-n96-max18-single-ens13,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens14,,,
u-ch427-n96-max18-single-ens14,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens15,,,
u-ch427-n96-max18-single-ens15,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens16,,,
u-ch427-n96-max18-single-ens16,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens17,,,
u-ch427-n96-max18-single-ens17,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens18,,,
u-ch427-n96-max18-single-ens18,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens00,,,
u-ch427-n96-max18-single-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens01,,,
u-ch427-n96-max18-single-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens02,,,
u-ch427-n96-max18-single-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens03,,,
u-ch427-n96-max18-single-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens04,,,
u-ch427-n96-max18-single-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens05,,,
u-ch427-n96-max18-single-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens06,,,
u-ch427-n96-max18-single-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens07,,,
u-ch427-n96-max18-single-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-single-ens08,,,
u-ch427-n96-max18-single-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
