Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-template-start-paper-all-of-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.4K ,4
, mean_00.nc, 378M ,386552
, mean_01.nc, 366M ,374552
, mean_02.nc, 366M ,374552
, mean_03.nc, 366M ,374552
, mean_04.nc, 366M ,374552
, mean_05.nc, 366M ,374552
, mean_06.nc, 366M ,374552
, mean_07.nc, 366M ,374552
, mean_08.nc, 366M ,374552
, mean_09.nc, 366M ,374552
, mean_10.nc, 366M ,374552
, mean_11.nc, 366M ,374552
, mean_12.nc, 366M ,374552
, mean_13.nc, 366M ,374552
, mean_14.nc, 366M ,374552
, mean_15.nc, 366M ,374552
, mean_16.nc, 366M ,374552
, mean_17.nc, 366M ,374552
, mean_18.nc, 366M ,374552
, mean_19.nc, 366M ,374552
, mean_20.nc, 366M ,374552
, mean_21.nc, 366M ,374552
, mean_22.nc, 366M ,374552
, mean_23.nc, 366M ,374552
, mean_24.nc, 366M ,374552
, mean_25.nc, 366M ,374552
, mean_26.nc, 366M ,374552
, mean_27.nc, 366M ,374552
, mean_28.nc, 366M ,374552
, mean_29.nc, 366M ,374552
, mean_30.nc, 366M ,374552
, mean_31.nc, 366M ,374552
, mean_32.nc, 366M ,374552
, mean_33.nc, 366M ,374552
, mean_34.nc, 366M ,374552
, mean_35.nc, 366M ,374552
, mean_36.nc, 366M ,374552
, mean_37.nc, 366M ,374552
, mean_38.nc, 366M ,374552
, mean_39.nc, 366M ,374552
, mean_40.nc, 366M ,374552
, mean_41.nc, 366M ,374552
, mean_42.nc, 366M ,374552
, mean_43.nc, 366M ,374552
, mean_44.nc, 366M ,374552
, mean_45.nc, 366M ,374552
, mean_46.nc, 366M ,374552
, mean_47.nc, 366M ,374552
, mean_48.nc, 366M ,374552
, mean_49.nc, 366M ,374552
, mean_50.nc, 366M ,374552
, mean_51.nc, 366M ,374552
, mean_52.nc, 366M ,374552
, mean_53.nc, 366M ,374552
, mean_54.nc, 366M ,374552
, mean_55.nc, 366M ,374552
, mean_56.nc, 366M ,374552
, mean_57.nc, 366M ,374552
, mean_58.nc, 366M ,374552
, mean_59.nc, 366M ,374552
, mean_60.nc, 366M ,374552
, mean_61.nc, 366M ,374552
, mean_62.nc, 366M ,374552
, mean_63.nc, 366M ,374552
, stdev_00.nc, 378M ,386552
, stdev_01.nc, 366M ,374552
, stdev_02.nc, 366M ,374552
, stdev_03.nc, 366M ,374552
, stdev_04.nc, 366M ,374552
, stdev_05.nc, 366M ,374552
, stdev_06.nc, 366M ,374552
, stdev_07.nc, 366M ,374552
, stdev_08.nc, 366M ,374552
, stdev_09.nc, 366M ,374552
, stdev_10.nc, 366M ,374552
, stdev_11.nc, 366M ,374552
, stdev_12.nc, 366M ,374552
, stdev_13.nc, 366M ,374552
, stdev_14.nc, 366M ,374552
, stdev_15.nc, 366M ,374552
, stdev_16.nc, 366M ,374552
, stdev_17.nc, 366M ,374552
, stdev_18.nc, 366M ,374552
, stdev_19.nc, 366M ,374552
, stdev_20.nc, 366M ,374552
, stdev_21.nc, 366M ,374552
, stdev_22.nc, 366M ,374552
, stdev_23.nc, 366M ,374552
, stdev_24.nc, 366M ,374552
, stdev_25.nc, 366M ,374552
, stdev_26.nc, 366M ,374552
, stdev_27.nc, 366M ,374552
, stdev_28.nc, 366M ,374552
, stdev_29.nc, 366M ,374552
, stdev_30.nc, 366M ,374552
, stdev_31.nc, 366M ,374552
, stdev_32.nc, 366M ,374552
, stdev_33.nc, 366M ,374552
, stdev_34.nc, 366M ,374552
, stdev_35.nc, 366M ,374552
, stdev_36.nc, 366M ,374552
, stdev_37.nc, 366M ,374552
, stdev_38.nc, 366M ,374552
, stdev_39.nc, 366M ,374552
, stdev_40.nc, 366M ,374552
, stdev_41.nc, 366M ,374552
, stdev_42.nc, 366M ,374552
, stdev_43.nc, 366M ,374552
, stdev_44.nc, 366M ,374552
, stdev_45.nc, 366M ,374552
, stdev_46.nc, 366M ,374552
, stdev_47.nc, 366M ,374552
, stdev_48.nc, 366M ,374552
, stdev_49.nc, 366M ,374552
, stdev_50.nc, 366M ,374552
, stdev_51.nc, 366M ,374552
, stdev_52.nc, 366M ,374552
, stdev_53.nc, 366M ,374552
, stdev_54.nc, 366M ,374552
, stdev_55.nc, 366M ,374552
, stdev_56.nc, 366M ,374552
, stdev_57.nc, 366M ,374552
, stdev_58.nc, 366M ,374552
, stdev_59.nc, 366M ,374552
, stdev_60.nc, 366M ,374552
, stdev_61.nc, 366M ,374552
, stdev_62.nc, 366M ,374552
, stdev_63.nc, 366M ,374552
u-ch427-n1280-template-start-paper-all-of-00,,Total Size,47966664

