Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-v2-x-02, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, test-m01s05i256-me, 1.2M ,1144
, test-m01s05i256-me, 1.2M ,1224
, test-m01s05i256-me, 1.3M ,1248
, test-m01s05i256-me, 1.4M ,1400
, test-m01s05i256-me, 2.1M ,2096
, test-m01s05i256-me, 3.8M ,3824
, test-m01s05i256-me, 5.6M ,5660
, test-m01s05i256-me,  10M ,10220
, test-m01s05i256-me,  20M ,20136
, test-m01s05i256-me,  31M ,31416
, test-m01s05i256-me,  39M ,39632
, test-m01s05i256-me,  41M ,41176
, test-m01s05i256-me,  39M ,39108
, test-m01s05i256-me,  37M ,37364
, test-m01s05i256-me,  37M ,37640
, test-m01s05i256-me,  37M ,36964
, test-m01s05i256-me,  34M ,34712
, test-m01s05i256-me,  34M ,34216
, test-m01s05i256-me,  38M ,38132
, test-m01s05i256-me,  42M ,42872
, test-m01s05i256-me,  42M ,42676
, test-m01s05i256-me,  42M ,42132
, test-m01s05i256-me,  46M ,46520
, test-m01s05i256-me,  51M ,51908
, test-m01s05i256-me,  54M ,54752
, test-m01s05i256-me,  56M ,57336
, test-m01s05i256-me,  62M ,63016
, test-m01s05i256-me,  60M ,61236
, test-m01s05i256-me,  57M ,58128
, test-m01s05i256-me,  52M ,52796
, test-m01s05i256-me,  59M ,59872
, test-m01s05i256-me,  61M ,61612
, test-m01s05i256-me,  58M ,58724
, test-m01s05i256-me,  60M ,60956
, test-m01s05i256-me,  54M ,54512
, test-m01s05i256-me,  40M ,40216
, test-m01s05i256-me,  33M ,33784
, test-m01s05i256-me,  33M ,33304
, test-m01s05i256-me,  31M ,30924
, test-m01s05i256-me,  32M ,32260
, test-m01s05i256-me,  32M ,31932
, test-m01s05i256-me,  35M ,35364
, test-m01s05i256-me,  35M ,35264
, test-m01s05i256-me,  37M ,37844
, test-m01s05i256-me,  35M ,35156
, test-m01s05i256-me,  33M ,33284
, test-m01s05i256-me,  28M ,27872
, test-m01s05i256-me,  23M ,23276
, test-m01s05i256-me,  22M ,21880
, test-m01s05i256-me,  23M ,23084
, test-m01s05i256-me,  19M ,18676
, test-m01s05i256-me,  15M ,15100
, test-m01s05i256-me,  14M ,13328
, test-m01s05i256-me,  11M ,10360
, test-m01s05i256-me, 8.9M ,9036
, test-m01s05i256-me, 6.3M ,6392
, test-m01s05i256-me, 5.0M ,5064
, test-m01s05i256-me, 6.2M ,6276
, test-m01s05i256-me, 5.0M ,5036
, test-m01s05i256-me, 2.2M ,2236
, test-m01s05i256-me, 1.3M ,1328
, test-m01s05i256-me, 1.4M ,1400
, test-m01s05i256-me, 1.3M ,1272
, test-m01s05i256-me, 1.2M ,1148
u-ch427-n1280-v2-x-02,,Total Size,1858464

