Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-v2-x-ms-04, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, test-all-fields-me, 5.7G ,5928184
, test-all-fields-me, 5.9G ,6083804
, test-all-fields-me, 6.0G ,6200092
, test-all-fields-me, 5.8G ,6071960
, test-all-fields-me, 5.8G ,6062272
, test-all-fields-me, 5.9G ,6097784
, test-all-fields-me, 5.8G ,6045852
, test-all-fields-me, 5.7G ,5952920
, test-all-fields-me, 5.7G ,5903976
, test-all-fields-me, 5.7G ,5919664
, test-all-fields-me, 5.7G ,5957932
, test-all-fields-me, 5.7G ,5963232
, test-all-fields-me, 5.8G ,5994748
, test-all-fields-me, 5.8G ,6006652
, test-all-fields-me, 5.8G ,5983100
, test-all-fields-me, 5.7G ,5949568
, test-all-fields-me, 5.7G ,5932268
, test-all-fields-me, 5.7G ,5901824
, test-all-fields-me, 5.7G ,5948404
, test-all-fields-me, 5.8G ,6021844
, test-all-fields-me, 5.8G ,6065224
, test-all-fields-me, 5.8G ,6048804
, test-all-fields-me, 5.8G ,6059164
, test-all-fields-me, 5.9G ,6119056
, test-all-fields-me, 5.9G ,6156876
, test-all-fields-me, 6.0G ,6209988
, test-all-fields-me, 6.0G ,6278944
, test-all-fields-me, 6.0G ,6256808
, test-all-fields-me, 6.0G ,6247044
, test-all-fields-me, 6.0G ,6244912
, test-all-fields-me, 6.1G ,6319796
, test-all-fields-me, 6.1G ,6317936
, test-all-fields-me, 6.0G ,6275452
, test-all-fields-me, 6.0G ,6267512
, test-all-fields-me, 5.9G ,6182232
, test-all-fields-me, 5.8G ,6016404
, test-all-fields-me, 5.7G ,5920176
, test-all-fields-me, 5.7G ,5910232
, test-all-fields-me, 5.7G ,5914024
, test-all-fields-me, 5.7G ,5940272
, test-all-fields-me, 5.7G ,5960828
, test-all-fields-me, 5.8G ,6007100
, test-all-fields-me, 5.9G ,6113556
, test-all-fields-me, 5.9G ,6180044
, test-all-fields-me, 6.0G ,6253896
, test-all-fields-me, 6.1G ,6317964
, test-all-fields-me, 6.1G ,6381992
, test-all-fields-me, 6.1G ,6374352
, test-all-fields-me, 6.2G ,6410732
, test-all-fields-me, 6.2G ,6445460
, test-all-fields-me, 6.2G ,6474044
, test-all-fields-me, 6.1G ,6367252
, test-all-fields-me, 6.1G ,6390368
, test-all-fields-me, 6.3G ,6547324
, test-all-fields-me, 6.5G ,6712548
, test-all-fields-me, 6.5G ,6759432
, test-all-fields-me, 6.3G ,6577680
, test-all-fields-me, 6.0G ,6226972
, test-all-fields-me, 5.7G ,5951928
, test-all-fields-me, 5.6G ,5814296
, test-all-fields-me, 5.6G ,5784700
, test-all-fields-me, 5.3G ,5539456
, test-all-fields-me, 5.1G ,5300820
, test-all-fields-me, 4.9G ,5124944
u-ch427-n1280-v2-x-ms-04,,Total Size,390694632

