Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-v2-x-orig8-07, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, test-ch427a.p9_197,  44M ,44940
, test-ch427a.p9_197,  45M ,45296
, test-ch427a.p9_197,  45M ,45620
, test-ch427a.p9_197,  48M ,49052
, test-ch427a.p9_197,  49M ,49760
, test-ch427a.p9_197,  50M ,50672
, test-ch427a.p9_197,  51M ,51352
, test-ch427a.p9_197,  55M ,55420
, test-ch427a.p9_197,  58M ,58908
, test-ch427a.p9_197,  61M ,61984
, test-ch427a.p9_197,  64M ,64576
, test-ch427a.p9_197,  65M ,66268
, test-ch427a.p9_197,  65M ,65852
, test-ch427a.p9_197,  64M ,65260
, test-ch427a.p9_197,  64M ,64684
, test-ch427a.p9_197,  63M ,63588
, test-ch427a.p9_197,  61M ,62296
, test-ch427a.p9_197,  61M ,61960
, test-ch427a.p9_197,  62M ,62808
, test-ch427a.p9_197,  62M ,63244
, test-ch427a.p9_197,  62M ,63252
, test-ch427a.p9_197,  62M ,62752
, test-ch427a.p9_197,  62M ,63056
, test-ch427a.p9_197,  64M ,64632
, test-ch427a.p9_197,  64M ,65368
, test-ch427a.p9_197,  66M ,66960
, test-ch427a.p9_197,  67M ,67936
, test-ch427a.p9_197,  67M ,68012
, test-ch427a.p9_197,  66M ,67108
, test-ch427a.p9_197,  65M ,66308
, test-ch427a.p9_197,  67M ,67944
, test-ch427a.p9_197,  67M ,68264
, test-ch427a.p9_197,  67M ,68008
, test-ch427a.p9_197,  67M ,68060
, test-ch427a.p9_197,  65M ,65752
, test-ch427a.p9_197,  61M ,61564
, test-ch427a.p9_197,  58M ,59144
, test-ch427a.p9_197,  58M ,58400
, test-ch427a.p9_197,  57M ,57740
, test-ch427a.p9_197,  57M ,57688
, test-ch427a.p9_197,  56M ,56492
, test-ch427a.p9_197,  56M ,57248
, test-ch427a.p9_197,  58M ,59244
, test-ch427a.p9_197,  60M ,60828
, test-ch427a.p9_197,  60M ,61068
, test-ch427a.p9_197,  61M ,61648
, test-ch427a.p9_197,  61M ,62224
, test-ch427a.p9_197,  61M ,61696
, test-ch427a.p9_197,  61M ,61864
, test-ch427a.p9_197,  61M ,62324
, test-ch427a.p9_197,  61M ,61964
, test-ch427a.p9_197,  60M ,60444
, test-ch427a.p9_197,  59M ,60320
, test-ch427a.p9_197,  59M ,59944
, test-ch427a.p9_197,  57M ,58368
, test-ch427a.p9_197,  56M ,56708
, test-ch427a.p9_197,  55M ,55776
, test-ch427a.p9_197,  54M ,54592
, test-ch427a.p9_197,  53M ,53356
, test-ch427a.p9_197,  51M ,51972
, test-ch427a.p9_197,  52M ,52240
, test-ch427a.p9_197,  51M ,52056
, test-ch427a.p9_197,  50M ,50436
, test-ch427a.p9_197,  48M ,48468
, test-ch427a.pa_197, 102M ,104112
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103992
, test-ch427a.pa_197, 102M ,103988
