Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-v2-x5-09, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, test-m01s05i256-me, 291K ,296
, test-m01s05i256-me, 360K ,364
, test-m01s05i256-me, 380K ,384
, test-m01s05i256-me, 514K ,520
, test-m01s05i256-me, 1.2M ,1156
, test-m01s05i256-me, 2.7M ,2740
, test-m01s05i256-me, 4.4M ,4420
, test-m01s05i256-me, 8.5M ,8632
, test-m01s05i256-me,  18M ,17856
, test-m01s05i256-me,  28M ,28612
, test-m01s05i256-me,  36M ,36684
, test-m01s05i256-me,  38M ,38328
, test-m01s05i256-me,  36M ,36264
, test-m01s05i256-me,  34M ,34532
, test-m01s05i256-me,  34M ,34800
, test-m01s05i256-me,  34M ,34116
, test-m01s05i256-me,  32M ,31896
, test-m01s05i256-me,  31M ,31384
, test-m01s05i256-me,  35M ,35036
, test-m01s05i256-me,  39M ,39536
, test-m01s05i256-me,  39M ,39084
, test-m01s05i256-me,  38M ,38284
, test-m01s05i256-me,  42M ,42480
, test-m01s05i256-me,  47M ,47480
, test-m01s05i256-me,  49M ,50024
, test-m01s05i256-me,  51M ,52220
, test-m01s05i256-me,  57M ,57372
, test-m01s05i256-me,  55M ,55428
, test-m01s05i256-me,  52M ,52436
, test-m01s05i256-me,  47M ,47284
, test-m01s05i256-me,  53M ,53680
, test-m01s05i256-me,  54M ,54976
, test-m01s05i256-me,  51M ,52036
, test-m01s05i256-me,  54M ,54508
, test-m01s05i256-me,  48M ,49136
, test-m01s05i256-me,  36M ,36480
, test-m01s05i256-me,  31M ,30860
, test-m01s05i256-me,  31M ,30756
, test-m01s05i256-me,  28M ,28360
, test-m01s05i256-me,  29M ,29632
, test-m01s05i256-me,  29M ,29176
, test-m01s05i256-me,  32M ,32432
, test-m01s05i256-me,  32M ,32184
, test-m01s05i256-me,  34M ,34720
, test-m01s05i256-me,  32M ,32072
, test-m01s05i256-me,  30M ,30112
, test-m01s05i256-me,  25M ,24880
, test-m01s05i256-me,  21M ,20724
, test-m01s05i256-me,  20M ,19580
, test-m01s05i256-me,  21M ,20804
, test-m01s05i256-me,  17M ,16492
, test-m01s05i256-me,  13M ,13144
, test-m01s05i256-me,  12M ,11448
, test-m01s05i256-me, 8.5M ,8696
, test-m01s05i256-me, 7.4M ,7520
, test-m01s05i256-me, 5.0M ,5092
, test-m01s05i256-me, 3.8M ,3884
, test-m01s05i256-me, 5.0M ,5052
, test-m01s05i256-me, 3.8M ,3848
, test-m01s05i256-me, 1.3M ,1292
, test-m01s05i256-me, 452K ,456
, test-m01s05i256-me, 518K ,524
, test-m01s05i256-me, 406K ,412
, test-m01s05i256-me, 293K ,300
u-ch427-n1280-v2-x5-09,,Total Size,1674924

