Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-v2-x5-ms-09, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, test-all-fields-me, 5.7G ,5883264
, test-all-fields-me, 5.8G ,6037864
, test-all-fields-me, 5.9G ,6153664
, test-all-fields-me, 5.8G ,6026968
, test-all-fields-me, 5.8G ,6017040
, test-all-fields-me, 5.8G ,6053164
, test-all-fields-me, 5.8G ,6002552
, test-all-fields-me, 5.7G ,5912440
, test-all-fields-me, 5.6G ,5865348
, test-all-fields-me, 5.7G ,5881776
, test-all-fields-me, 5.7G ,5920052
, test-all-fields-me, 5.7G ,5925444
, test-all-fields-me, 5.7G ,5956276
, test-all-fields-me, 5.7G ,5967988
, test-all-fields-me, 5.7G ,5943912
, test-all-fields-me, 5.7G ,5910424
, test-all-fields-me, 5.7G ,5893372
, test-all-fields-me, 5.6G ,5863624
, test-all-fields-me, 5.7G ,5909708
, test-all-fields-me, 5.8G ,5981556
, test-all-fields-me, 5.8G ,6022592
, test-all-fields-me, 5.8G ,6005852
, test-all-fields-me, 5.8G ,6015956
, test-all-fields-me, 5.8G ,6074288
, test-all-fields-me, 5.9G ,6110520
, test-all-fields-me, 5.9G ,6161084
, test-all-fields-me, 6.0G ,6227456
, test-all-fields-me, 6.0G ,6205472
, test-all-fields-me, 6.0G ,6196552
, test-all-fields-me, 6.0G ,6195048
, test-all-fields-me, 6.0G ,6267864
, test-all-fields-me, 6.0G ,6264528
, test-all-fields-me, 6.0G ,6222680
, test-all-fields-me, 6.0G ,6215636
, test-all-fields-me, 5.9G ,6134240
, test-all-fields-me, 5.7G ,5973996
, test-all-fields-me, 5.7G ,5881196
, test-all-fields-me, 5.7G ,5872356
, test-all-fields-me, 5.7G ,5875948
, test-all-fields-me, 5.7G ,5901664
, test-all-fields-me, 5.7G ,5920824
, test-all-fields-me, 5.7G ,5965340
, test-all-fields-me, 5.8G ,6069956
, test-all-fields-me, 5.9G ,6134964
, test-all-fields-me, 6.0G ,6207272
, test-all-fields-me, 6.0G ,6267608
, test-all-fields-me, 6.1G ,6331440
, test-all-fields-me, 6.1G ,6325332
, test-all-fields-me, 6.1G ,6363136
, test-all-fields-me, 6.2G ,6398872
, test-all-fields-me, 6.2G ,6426728
, test-all-fields-me, 6.1G ,6320616
, test-all-fields-me, 6.1G ,6342868
, test-all-fields-me, 6.2G ,6497716
, test-all-fields-me, 6.4G ,6662440
, test-all-fields-me, 6.4G ,6709148
, test-all-fields-me, 6.3G ,6528644
, test-all-fields-me, 5.9G ,6182744
, test-all-fields-me, 5.7G ,5911160
, test-all-fields-me, 5.6G ,5775904
, test-all-fields-me, 5.5G ,5746276
, test-all-fields-me, 5.3G ,5505240
, test-all-fields-me, 5.1G ,5269340
, test-all-fields-me, 4.9G ,5095996
u-ch427-n1280-v2-x5-ms-09,,Total Size,387890936

