Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-v2-x5-orig8-03, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, test-ch427a.p9_197,  19M ,18968
, test-ch427a.p9_197,  20M ,20108
, test-ch427a.p9_197,  20M ,20372
, test-ch427a.p9_197,  22M ,22232
, test-ch427a.p9_197,  23M ,22684
, test-ch427a.p9_197,  23M ,23180
, test-ch427a.p9_197,  24M ,23696
, test-ch427a.p9_197,  26M ,25664
, test-ch427a.p9_197,  27M ,27332
, test-ch427a.p9_197,  29M ,28740
, test-ch427a.p9_197,  30M ,29936
, test-ch427a.p9_197,  30M ,30656
, test-ch427a.p9_197,  30M ,30516
, test-ch427a.p9_197,  30M ,30292
, test-ch427a.p9_197,  30M ,30144
, test-ch427a.p9_197,  30M ,29768
, test-ch427a.p9_197,  29M ,29196
, test-ch427a.p9_197,  29M ,29060
, test-ch427a.p9_197,  29M ,29412
, test-ch427a.p9_197,  30M ,29708
, test-ch427a.p9_197,  30M ,29848
, test-ch427a.p9_197,  29M ,29608
, test-ch427a.p9_197,  29M ,29648
, test-ch427a.p9_197,  30M ,30380
, test-ch427a.p9_197,  31M ,30752
, test-ch427a.p9_197,  31M ,31548
, test-ch427a.p9_197,  32M ,32076
, test-ch427a.p9_197,  32M ,32136
, test-ch427a.p9_197,  31M ,31720
, test-ch427a.p9_197,  31M ,31376
, test-ch427a.p9_197,  32M ,32136
, test-ch427a.p9_197,  32M ,32324
, test-ch427a.p9_197,  32M ,32256
, test-ch427a.p9_197,  32M ,32220
, test-ch427a.p9_197,  31M ,30952
, test-ch427a.p9_197,  29M ,28876
, test-ch427a.p9_197,  27M ,27608
, test-ch427a.p9_197,  27M ,27180
, test-ch427a.p9_197,  27M ,27004
, test-ch427a.p9_197,  27M ,27076
, test-ch427a.p9_197,  26M ,26616
, test-ch427a.p9_197,  27M ,27060
, test-ch427a.p9_197,  28M ,28092
, test-ch427a.p9_197,  29M ,28840
, test-ch427a.p9_197,  29M ,28948
, test-ch427a.p9_197,  29M ,29212
, test-ch427a.p9_197,  29M ,29436
, test-ch427a.p9_197,  29M ,29128
, test-ch427a.p9_197,  29M ,29100
, test-ch427a.p9_197,  29M ,29260
, test-ch427a.p9_197,  29M ,29096
, test-ch427a.p9_197,  28M ,28388
, test-ch427a.p9_197,  28M ,28276
, test-ch427a.p9_197,  28M ,28112
, test-ch427a.p9_197,  27M ,27456
