Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-paper-v2-69, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 1.4G ,1440012
, true.x0_01.nc, 1.4G ,1440012
, true.x0_02.nc, 1.4G ,1440012
, true.x0_03.nc, 1.4G ,1440012
, true.x0_04.nc, 1.4G ,1371452
, true.x0_05.nc, 1.4G ,1371452
, true.x0_06.nc, 1.4G ,1371452
, true.x0_07.nc, 1.4G ,1371452
, true.x0_08.nc, 1.4G ,1371452
, true.x0_09.nc, 1.4G ,1371452
, true.x0_10.nc, 1.4G ,1371452
, true.x0_11.nc, 1.4G ,1371452
, true.x0_12.nc, 1.4G ,1371452
, true.x0_13.nc, 1.4G ,1371452
, true.x0_14.nc, 1.4G ,1371452
, true.x0_15.nc, 1.4G ,1371452
u-ch427-n216-paper-v2-69,,Total Size,22217480

