Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-start-paper-ms-x0-prec-20, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, mean_00.nc, 636M ,650496
, mean_01.nc, 693M ,709484
, mean_02.nc, 721M ,737884
, mean_03.nc, 732M ,748888
, mean_04.nc, 700M ,716132
, mean_05.nc, 702M ,718400
, mean_06.nc, 699M ,715480
, mean_07.nc, 691M ,706988
, mean_08.nc, 694M ,710484
, mean_09.nc, 703M ,719668
, mean_10.nc, 706M ,722380
, mean_11.nc, 704M ,719976
, mean_12.nc, 697M ,713344
, mean_13.nc, 694M ,710168
, mean_14.nc, 678M ,693480
, mean_15.nc, 624M ,638096
, stdev_00.nc, 711M ,727208
, stdev_01.nc, 750M ,767460
, stdev_02.nc, 762M ,779980
, stdev_03.nc, 768M ,785840
, stdev_04.nc, 735M ,752220
, stdev_05.nc, 736M ,753072
, stdev_06.nc, 734M ,750832
, stdev_07.nc, 732M ,748636
, stdev_08.nc, 734M ,751312
, stdev_09.nc, 737M ,754640
, stdev_10.nc, 739M ,755728
, stdev_11.nc, 738M ,755528
, stdev_12.nc, 736M ,753072
, stdev_13.nc, 736M ,752916
, stdev_14.nc, 727M ,743892
, stdev_15.nc, 691M ,707456
u-ch427-n216-start-paper-ms-x0-prec-20,,Total Size,23371148

