Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-start-paper-x0-60, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 636M ,650508
, true.x0_01.nc, 693M ,709532
, true.x0_02.nc, 721M ,737924
, true.x0_03.nc, 732M ,748956
, true.x0_04.nc, 700M ,716188
, true.x0_05.nc, 702M ,718520
, true.x0_06.nc, 699M ,715696
, true.x0_07.nc, 691M ,707208
, true.x0_08.nc, 694M ,710532
, true.x0_09.nc, 703M ,719748
, true.x0_10.nc, 706M ,722444
, true.x0_11.nc, 704M ,720000
, true.x0_12.nc, 697M ,713320
, true.x0_13.nc, 694M ,710120
, true.x0_14.nc, 678M ,693504
, true.x0_15.nc, 624M ,638072
u-ch427-n216-start-paper-x0-60,,Total Size,11332280

