Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-template-start-paper-ms-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, mean_00.nc, 2.0G ,1996460
, mean_01.nc, 2.0G ,1996460
, mean_02.nc, 2.0G ,1996460
, mean_03.nc, 2.0G ,1996460
, mean_04.nc, 1.9G ,1903428
, mean_05.nc, 1.9G ,1901404
, mean_06.nc, 1.9G ,1901404
, mean_07.nc, 1.9G ,1901404
, mean_08.nc, 1.9G ,1901404
, mean_09.nc, 1.9G ,1901404
, mean_10.nc, 1.9G ,1901404
, mean_11.nc, 1.9G ,1901404
, mean_12.nc, 1.9G ,1901404
, mean_13.nc, 1.9G ,1901404
, mean_14.nc, 1.9G ,1901404
, mean_15.nc, 1.9G ,1901404
, stdev_00.nc, 2.0G ,1996460
, stdev_01.nc, 2.0G ,1996460
, stdev_02.nc, 2.0G ,1996460
, stdev_03.nc, 2.0G ,1996460
, stdev_04.nc, 1.9G ,1903428
, stdev_05.nc, 1.9G ,1901404
, stdev_06.nc, 1.9G ,1901404
, stdev_07.nc, 1.9G ,1901404
, stdev_08.nc, 1.9G ,1901404
, stdev_09.nc, 1.9G ,1901404
, stdev_10.nc, 1.9G ,1901404
, stdev_11.nc, 1.9G ,1901404
, stdev_12.nc, 1.9G ,1901404
, stdev_13.nc, 1.9G ,1901404
, stdev_14.nc, 1.9G ,1901404
, stdev_15.nc, 1.9G ,1901404
u-ch427-n216-template-start-paper-ms-00,,Total Size,61609432

