Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-start-paper-ms-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, mean_00.nc, 5.6G ,5858452
, mean_01.nc, 5.6G ,5858452
, mean_02.nc, 5.6G ,5858452
, mean_03.nc, 5.6G ,5858452
, mean_04.nc, 5.6G ,5858452
, mean_05.nc, 5.6G ,5858452
, mean_06.nc, 5.6G ,5858452
, mean_07.nc, 5.6G ,5858452
, mean_08.nc, 5.6G ,5858452
, mean_09.nc, 5.6G ,5858452
, mean_10.nc, 5.6G ,5858452
, mean_11.nc, 5.6G ,5858452
, mean_12.nc, 5.6G ,5858452
, mean_13.nc, 5.6G ,5858452
, mean_14.nc, 5.6G ,5858452
, mean_15.nc, 5.6G ,5858452
, mean_16.nc, 5.6G ,5858452
, mean_17.nc, 5.6G ,5858452
, mean_18.nc, 5.4G ,5637940
, mean_19.nc, 5.4G ,5633140
, mean_20.nc, 5.4G ,5633140
, mean_21.nc, 5.4G ,5633140
, mean_22.nc, 5.4G ,5633140
, mean_23.nc, 5.4G ,5633140
, mean_24.nc, 5.4G ,5633140
, mean_25.nc, 5.4G ,5633140
, mean_26.nc, 5.4G ,5633140
, mean_27.nc, 5.4G ,5633140
, mean_28.nc, 5.4G ,5633140
, mean_29.nc, 5.4G ,5633140
, stdev_00.nc, 5.6G ,5858452
, stdev_01.nc, 5.6G ,5858452
, stdev_02.nc, 5.6G ,5858452
, stdev_03.nc, 5.6G ,5858452
, stdev_04.nc, 5.6G ,5858452
, stdev_05.nc, 5.6G ,5858452
, stdev_06.nc, 5.6G ,5858452
, stdev_07.nc, 5.6G ,5858452
, stdev_08.nc, 5.6G ,5858452
, stdev_09.nc, 5.6G ,5858452
, stdev_10.nc, 5.6G ,5858452
, stdev_11.nc, 5.6G ,5858452
, stdev_12.nc, 5.6G ,5858452
, stdev_13.nc, 5.6G ,5858452
, stdev_14.nc, 5.6G ,5858452
, stdev_15.nc, 5.6G ,5858452
, stdev_16.nc, 5.6G ,5858452
, stdev_17.nc, 5.6G ,5858452
, stdev_18.nc, 5.4G ,5637940
, stdev_19.nc, 5.4G ,5633140
, stdev_20.nc, 5.4G ,5633140
, stdev_21.nc, 5.4G ,5633140
, stdev_22.nc, 5.4G ,5633140
, stdev_23.nc, 5.4G ,5633140
, stdev_24.nc, 5.4G ,5633140
, stdev_25.nc, 5.4G ,5633140
, stdev_26.nc, 5.4G ,5633140
, stdev_27.nc, 5.4G ,5633140
, stdev_28.nc, 5.4G ,5633140
, stdev_29.nc, 5.4G ,5633140
u-ch427-n512-start-paper-ms-00,,Total Size,346109240

