Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-start-paper-x0-prec-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 1.7G ,1707252
, true.x0_01.nc, 1.8G ,1865280
, true.x0_02.nc, 1.9G ,1946136
, true.x0_03.nc, 2.0G ,2006132
, true.x0_04.nc, 2.0G ,2049668
, true.x0_05.nc, 2.0G ,2084964
, true.x0_06.nc, 2.1G ,2100400
, true.x0_07.nc, 2.1G ,2098180
, true.x0_08.nc, 2.1G ,2100356
, true.x0_09.nc, 2.1G ,2110632
, true.x0_10.nc, 2.1G ,2105600
, true.x0_11.nc, 2.1G ,2106108
, true.x0_12.nc, 2.0G ,2094108
, true.x0_13.nc, 2.0G ,2081856
, true.x0_14.nc, 2.0G ,2079772
, true.x0_15.nc, 2.0G ,2091512
, true.x0_16.nc, 2.1G ,2115548
, true.x0_17.nc, 2.1G ,2121720
, true.x0_18.nc, 2.0G ,2042800
, true.x0_19.nc, 2.0G ,2045224
, true.x0_20.nc, 2.0G ,2046764
, true.x0_21.nc, 2.0G ,2038928
, true.x0_22.nc, 2.0G ,2022172
, true.x0_23.nc, 2.0G ,2012008
, true.x0_24.nc, 2.0G ,2010156
, true.x0_25.nc, 2.0G ,1996084
, true.x0_26.nc, 1.9G ,1966168
, true.x0_27.nc, 1.9G ,1924948
, true.x0_28.nc, 1.8G ,1846368
, true.x0_29.nc, 1.7G ,1691044
u-ch427-n512-start-paper-x0-prec-00,,Total Size,60507896

