Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper-prec-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.4K ,4
, true.x0_00.nc, 2.8G ,2929396
, true.x0_01.nc, 2.8G ,2929396
, true.x0_02.nc, 2.8G ,2929396
, true.x0_03.nc, 2.8G ,2929396
, true.x0_04.nc, 2.8G ,2929396
, true.x0_05.nc, 2.8G ,2929396
, true.x0_06.nc, 2.8G ,2929396
, true.x0_07.nc, 2.8G ,2929396
, true.x0_08.nc, 2.8G ,2929396
, true.x0_09.nc, 2.8G ,2929396
, true.x0_10.nc, 2.8G ,2929396
, true.x0_11.nc, 2.8G ,2929396
, true.x0_12.nc, 2.8G ,2929396
, true.x0_13.nc, 2.8G ,2929396
, true.x0_14.nc, 2.8G ,2929396
, true.x0_15.nc, 2.8G ,2929396
, true.x0_16.nc, 2.8G ,2929396
, true.x0_17.nc, 2.8G ,2929396
, true.x0_18.nc, 2.7G ,2819140
, true.x0_19.nc, 2.7G ,2816740
, true.x0_20.nc, 2.7G ,2816740
, true.x0_21.nc, 2.7G ,2816740
, true.x0_22.nc, 2.7G ,2816740
, true.x0_23.nc, 2.7G ,2816740
, true.x0_24.nc, 2.7G ,2816740
, true.x0_25.nc, 2.7G ,2816740
, true.x0_26.nc, 2.7G ,2816740
, true.x0_27.nc, 2.7G ,2816740
, true.x0_28.nc, 2.7G ,2816740
, true.x0_29.nc, 2.7G ,2816740
u-ch427-n512-template-start-paper-prec-00,,Total Size,86532416

