Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-io-62, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 373M ,381444
, true.x0_01.nc, 372M ,380544
, true.x0_02.nc, 372M ,380544
, true.x0_03.nc, 372M ,380544
, true.x0_04.nc, 372M ,380544
, true.x0_05.nc, 372M ,380544
, true.x0_06.nc, 372M ,380544
, true.x0_07.nc, 372M ,380544
, true.x0_08.nc, 372M ,380544
, true.x0_09.nc, 372M ,380540
, true.x0_10.nc, 372M ,380544
, true.x0_11.nc, 372M ,380544
, true.x0_12.nc, 372M ,380544
, true.x0_13.nc, 372M ,380544
, true.x0_14.nc, 372M ,380540
, true.x0_15.nc, 372M ,380544
u-ch427-n96-start-paper-io-62,,Total Size,6089604

