SUITE,TIME,INITIAL,JOB_ID,JOB_PID,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,TOOK1,TOOK2,TOOK3
u-ch427-n1280-template,,,,,,,,,,,
u-ch427-n1280-template-32-32,,,,,,,,,,,
u-ch427-n1280-template-64-32,,,,,,,,,,,
u-ch427-n1280-template-64-64,,,,,,,,,,,
u-ch427-n1280-template-90-60,,,,,,,,,,,
u-ch427-n1280-template-96-32,,,,,,,,,,,
u-ch427-n1280-template-queue,,,,,,,,,,,
u-ch427-n216-ens0,,,891731,134769,2021-12-14T14:46:52Z,2021-12-14T14:47:45Z,2021-12-14T14:50:19Z,SUCCEEDED,,,
u-ch427-n216-ens1,127.081,39.41,891837,230842,2021-12-14T14:57:17Z,2021-12-14T15:18:46Z,2021-12-14T15:21:10Z,SUCCEEDED,11.918,0.596,0.576
u-ch427-n216-ens10,246.425,140.28,891751,103508,2021-12-14T14:48:22Z,2021-12-14T15:40:49Z,2021-12-14T15:46:45Z,SUCCEEDED,12.986,0.609,0.605
u-ch427-n216-ens11,251.726,143.57,891827,167387,2021-12-14T14:56:59Z,2021-12-14T15:48:47Z,2021-12-14T15:54:55Z,SUCCEEDED,11.676,0.662,0.604
u-ch427-n216-ens12,272.917,140.26,891860,160416,2021-12-14T15:00:19Z,2021-12-14T15:50:48Z,2021-12-14T15:57:18Z,SUCCEEDED,13.939,5.384,1.325
u-ch427-n216-ens13,272.968,156.69,891759,4896,2021-12-14T14:49:19Z,2021-12-14T14:55:47Z,2021-12-14T15:02:35Z,SUCCEEDED,14.431,0.648,0.607
u-ch427-n216-ens14,277.085,160.98,891760,98595,2021-12-14T14:49:27Z,2021-12-14T15:05:45Z,2021-12-14T15:12:39Z,SUCCEEDED,13.164,0.772,0.620
u-ch427-n216-ens15,289.800,167.12,891826,106423,2021-12-14T14:56:54Z,2021-12-14T15:40:48Z,2021-12-14T15:47:56Z,SUCCEEDED,13.487,0.936,0.619
u-ch427-n216-ens16,301.042,175.97,891805,47487,2021-12-14T14:54:45Z,2021-12-14T15:32:47Z,2021-12-14T15:40:26Z,SUCCEEDED,14.191,0.864,0.607
u-ch427-n216-ens17,303.057,175.11,891808,46924,2021-12-14T14:55:02Z,2021-12-14T15:22:48Z,2021-12-14T15:30:33Z,SUCCEEDED,16.355,0.989,0.605
