SUITE,TIME,INITIAL,DUMPCTL
u-bo026-n216,433.051,,
u-bo026-n216,433.051,80.38,
u-bo026-n216,433.051,80.38,29.84
u-bo026-n216-ens0,1005.100,80.38,29.84
u-bo026-n216-ens0,1005.100,355.33,29.84
u-bo026-n216-ens0,1005.100,355.33,30.30
u-bo026-n216-ens12,468.024,355.33,30.30
u-bo026-n216-ens12,468.024,36.25,30.30
u-bo026-n216-ens12,468.024,36.25,30.01
u-bo026-n216-ens3,432.485,36.25,30.01
u-bo026-n216-ens3,432.485,14.61,30.01
u-bo026-n216-ens3,432.485,14.61,30.37
u-bo026-n216-ens3-r1,232.674,14.61,30.37
u-bo026-n216-ens3-r1,232.674,11.54,30.37
u-bo026-n216-ens3-r1,232.674,11.54,29.86
u-bo026-n216-ens3-r2,246.373,11.54,29.86
u-bo026-n216-ens3-r2,246.373,14.15,29.86
u-bo026-n216-ens3-r2,246.373,14.15,30.03
u-bo026-n216-ens3-r3,243.066,14.15,30.03
u-bo026-n216-ens3-r3,243.066,12.29,30.03
u-bo026-n216-ens3-r3,243.066,12.29,30.17
u-bo026-n216-ens6,261.625,12.29,30.17
u-bo026-n216-ens6,261.625,18.48,30.17
u-bo026-n216-ens6,261.625,18.48,29.77
u-bo026-n216-ens6-r1,451.573,18.48,29.77
u-bo026-n216-ens6-r1,451.573,20.38,29.77
u-bo026-n216-ens6-r1,451.573,20.38,30.39
u-bo026-n216-ens6-r2,257.646,20.38,30.39
u-bo026-n216-ens6-r2,257.646,16.82,30.39
u-bo026-n216-ens6-r2,257.646,16.82,29.82
u-bo026-n216-ens6-r3,524.555,16.82,29.82
u-bo026-n216-ens6-r3,524.555,81.15,29.82
u-bo026-n216-ens6-r3,524.555,81.15,30.35
u-bo026-n216-ens9,464.772,81.15,30.35
u-bo026-n216-ens9,464.772,27.40,30.35
u-bo026-n216-ens9,464.772,27.40,31.33
u-bo026-n216-ens9-r2,261.586,27.40,31.33
u-bo026-n216-ens9-r2,261.586,27.52,31.33
u-bo026-n216-ens9-r2,261.586,27.52,30.73
u-bo026-n216-ens9-r3,820.740,27.52,30.73
u-bo026-n216-ens9-r3,820.740,348.64,30.73
u-bo026-n216-ens9-r3,820.740,348.64,30.02
u-bo026-n216-r1,1017.397,348.64,30.02
u-bo026-n216-r1,1017.397,304.24,30.02
u-bo026-n216-r1,1017.397,304.24,30.19
u-bo026-n216-r2,277.983,304.24,30.19
u-bo026-n216-r2,277.983,31.28,30.19
u-bo026-n216-r2,277.983,31.28,30.71
u-bo026-n216-r3,267.758,31.28,30.71
u-bo026-n216-r3,267.758,37.61,30.71
u-bo026-n216-r3,267.758,37.61,29.46
u-bo026-n96,248.774,37.61,29.46
u-bo026-n96,248.774,153.32,29.46
u-bo026-n96,248.774,153.32,8.61
u-bo026-n96-ens0,735.209,153.32,8.61
u-bo026-n96-ens0,735.209,219.39,8.61
u-bo026-n96-ens0,735.209,219.39,8.84
u-bo026-n96-ens12-r1,119.130,219.39,8.84
u-bo026-n96-ens12-r1,119.130,19.89,8.84
u-bo026-n96-ens12-r1,119.130,19.89,9.23
u-bo026-n96-ens12-r2,92.574,19.89,9.23
u-bo026-n96-ens12-r2,92.574,17.64,9.23
u-bo026-n96-ens12-r2,92.574,17.64,9.21
u-bo026-n96-ens12-r3,95.073,17.64,9.21
u-bo026-n96-ens12-r3,95.073,19.89,9.21
u-bo026-n96-ens12-r3,95.073,19.89,9.70
u-bo026-n96-ens2,109.352,19.89,9.70
u-bo026-n96-ens2,109.352,1.97,9.70
u-bo026-n96-ens2,109.352,1.97,6.90
u-bo026-n96-ens2-2D,110.416,1.97,6.90
u-bo026-n96-ens2-2D,110.416,2.10,6.90
u-bo026-n96-ens2-2D,110.416,2.10,7.23
u-bo026-n96-ens2-2D-r1,108.761,2.10,7.23
u-bo026-n96-ens2-2D-r1,108.761,1.88,7.23
u-bo026-n96-ens2-2D-r1,108.761,1.88,6.85
u-bo026-n96-ens2-2D-r2,112.830,1.88,6.85
u-bo026-n96-ens2-2D-r2,112.830,1.94,6.85
u-bo026-n96-ens2-2D-r2,112.830,1.94,6.55
u-bo026-n96-ens2-2D-r3,154.245,1.94,6.55
u-bo026-n96-ens2-2D-r3,154.245,3.75,6.55
u-bo026-n96-ens2-2D-r3,154.245,3.75,6.82
u-bo026-n96-ens2-3D,166.788,3.75,6.82
u-bo026-n96-ens2-3D,166.788,3.75,6.98
u-bo026-n96-ens2-r1,107.239,3.75,6.98
u-bo026-n96-ens2-r1,107.239,2.05,6.98
u-bo026-n96-ens2-r1,107.239,2.05,7.20
u-bo026-n96-ens2-r2,163.783,2.05,7.20
u-bo026-n96-ens2-r2,163.783,3.86,7.20
u-bo026-n96-ens2-r2,163.783,3.86,6.84
u-bo026-n96-ens2-r3,164.937,3.86,6.84
u-bo026-n96-ens2-r3,164.937,4.32,6.84
u-bo026-n96-ens2-r3,164.937,4.32,6.86
u-bo026-n96-ens3,994.438,4.32,6.86
u-bo026-n96-ens3,994.438,323.34,6.86
u-bo026-n96-ens3,994.438,323.34,9.22
u-bo026-n96-ens3-r2,73.676,323.34,9.22
u-bo026-n96-ens3-r2,73.676,8.10,9.22
u-bo026-n96-ens3-r2,73.676,8.10,9.30
u-bo026-n96-ens3-r3,72.001,8.10,9.30
u-bo026-n96-ens3-r3,72.001,8.96,9.30
u-bo026-n96-ens3-r3,72.001,8.96,9.18
u-bo026-n96-ens6,78.085,8.96,9.18
u-bo026-n96-ens6,78.085,10.17,9.18
u-bo026-n96-ens6,78.085,10.17,9.10
u-bo026-n96-ens6-r2,106.537,10.17,9.10
u-bo026-n96-ens6-r2,106.537,9.06,9.10
u-bo026-n96-ens6-r2,106.537,9.06,9.36
u-bo026-n96-ens6-r3,105.124,9.06,9.36
u-bo026-n96-ens6-r3,105.124,10.95,9.36
u-bo026-n96-ens6-r3,105.124,10.95,9.15
u-bo026-n96-ens9-r1,113.122,10.95,9.15
u-bo026-n96-ens9-r1,113.122,12.25,9.15
u-bo026-n96-ens9-r1,113.122,12.25,8.88
u-bo026-n96-ens9-r2,110.474,12.25,8.88
u-bo026-n96-ens9-r2,110.474,16.12,8.88
u-bo026-n96-ens9-r2,110.474,16.12,9.21
u-bo026-n96-ens9-r3,112.929,16.12,9.21
u-bo026-n96-ens9-r3,112.929,14.96,9.21
u-bo026-n96-ens9-r3,112.929,14.96,8.54
u-bo026-n96-r1,120.128,14.96,8.54
u-bo026-n96-r1,120.128,22.89,8.54
u-bo026-n96-r1,120.128,22.89,9.35
u-bo026-n96-r2,97.137,22.89,9.35
u-bo026-n96-r2,97.137,21.15,9.35
u-bo026-n96-r2,97.137,21.15,9.24
u-bo026-n96-r3,122.062,21.15,9.24
u-bo026-n96-r3,122.062,20.68,9.24
u-bo026-n96-r3,122.062,20.68,9.07
