SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK,PROCX,PROCY,XIOS_NPROC
final-total-all-suites.csv,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,,,,
n1280,,,,,,,,,,,,,,,,,
n216-ens,,,,,,,,,,,,,,,,,
n216-paper,,,,,,,,,,,,,,,,,
n512-ens,,,,,,,,,,,,,,,,,
n512-paper,,,,,,,,,,,,,,,,,
n96-ens,,,,,,,,,,,,,,,,,
n96-paper,,,,,,,,,,,,,,,,,
old-xml-scripts,,,,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,,,,
server,,,,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,,,,
u-ch330, 21082.20,,,,,,101,2022-10-25T20:30:43Z,2022-10-26T01:39:00Z,2022-10-26T07:30:46Z,SUCCEEDED,2509511,205425,508.404,64,94,
u-ch427-grenville,,,,,,,,,,,,,,,,,
u-ch427-n1280,,,,,1,,126,2022-10-16T00:48:44Z,2022-10-16T00:55:28Z,2022-10-16T00:55:39Z,EXIT,2456094,201921,,94,64,64
u-ch427-n1280-start-paper-01-09-02, 9600.233 ,133.32,,,1,,306,2022-09-13T03:25:39Z,2022-09-13T04:06:30Z,2022-09-13T06:47:42Z,SUCCEEDED,2314356,247361,17.738,94,64,9
u-ch427-n1280-start-paper-01-14-02, 8016.996 ,134.39,,,1,,308,2022-09-13T03:25:39Z,2022-09-13T05:02:42Z,2022-09-13T07:17:31Z,SUCCEEDED,2314357,126102,20.524,94,64,14
u-ch427-n1280-start-paper-01-19-02, 8233.023 ,135.38,,,1,,311,2022-09-13T03:25:40Z,2022-09-13T06:47:58Z,2022-09-13T09:06:22Z,SUCCEEDED,2314359,180987,14.897,94,64,19
u-ch427-n1280-start-paper-01-24-02, 8568.615 ,136.69,,,1,,313,2022-09-13T03:25:40Z,2022-09-13T05:41:14Z,2022-09-13T08:05:13Z,SUCCEEDED,2314358,230832,17.151,94,64,24
u-ch427-n1280-start-paper-01-28-02, 10012.468 ,135.46,,,1,,315,2022-09-13T22:06:39Z,2022-09-16T05:31:52Z,2022-09-16T08:20:03Z,SUCCEEDED,2318600,5547,18.284,94,64,28
u-ch427-n1280-start-paper-01-33-02, 9455.829 ,160.39,,,1,,318,2022-09-18T22:54:25Z,2022-09-20T00:35:04Z,2022-09-20T03:13:53Z,SUCCEEDED,2335404,261448,19.887,94,64,33
u-ch427-n1280-start-paper-01-38-02, 9225.999 ,135.38,,,1,,320,2022-09-13T07:24:32Z,2022-09-14T18:09:03Z,2022-09-14T20:44:02Z,SUCCEEDED,2314622,178210,17.756,94,64,38
u-ch427-n1280-start-paper-01-42-02, 10205.133 ,190.29,,,1,,322,2022-09-15T10:45:55Z,2022-09-17T15:03:30Z,2022-09-17T17:54:52Z,SUCCEEDED,2324252,250540,19.611,94,64,42
u-ch427-n1280-start-paper-01-47-02, 9868.923 ,134.55,,,1,,325,2022-09-13T07:24:34Z,2022-09-14T21:09:43Z,2022-09-14T23:55:16Z,SUCCEEDED,2314624,35421,17.901,94,64,47
u-ch427-n1280-start-paper-01-52-02, 8683.715 ,165.69,,,1,,327,2022-09-15T00:33:45Z,2022-09-17T01:11:20Z,2022-09-17T03:37:58Z,SUCCEEDED,2322913,92113,14.808,94,64,52
u-ch427-n1280-start-paper-01-56-02, 9522.075 ,139.64,,,1,,329,2022-09-15T07:45:24Z,2022-09-17T07:36:12Z,2022-09-17T10:16:14Z,SUCCEEDED,2323335,115967,20.971,94,64,56
u-ch427-n1280-start-paper-01-61-02, 9260.953 ,138.00,,,1,,332,2022-09-13T07:24:35Z,2022-09-13T08:39:02Z,2022-09-13T11:14:37Z,SUCCEEDED,2314626,106655,17.438,94,64,61
u-ch427-n1280-start-paper-01-66-02, 9561.634 ,171.25,,,1,,334,2022-09-13T11:32:53Z,2022-09-15T05:24:17Z,2022-09-15T08:04:54Z,SUCCEEDED,2316000,208107,21.601,94,64,66
u-ch427-n1280-start-paper-01-71-02, 9737.416 ,172.79,,,1,,337,2022-09-13T11:32:55Z,2022-09-16T04:23:53Z,2022-09-16T07:07:23Z,SUCCEEDED,2316002,126179,21.453,94,64,71
u-ch427-n1280-start-paper-01-75-02, 9607.220 ,173.69,,,1,,339,2022-09-13T11:32:55Z,2022-09-16T02:49:02Z,2022-09-16T05:30:24Z,SUCCEEDED,2316001,92456,20.151,94,64,75
u-ch427-n1280-start-paper-01-80-02, 10238.539 ,200.11,,,1,,341,2022-09-14T11:49:40Z,2022-09-16T19:17:40Z,2022-09-16T22:09:33Z,SUCCEEDED,2320309,75071,17.967,94,64,80
