SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n1280-pack0-x0,144,435.12,315.23,2.19,1.88,1.9,1.85,45.11,34.17,22.26,,,,
u-ch427-n1280-pack0-x1,144,469.09,319.24,2.22,2.0,2.01,2.0,47.97,36.14,23.98,,,,
u-ch427-n1280-pack0-x2,144,487.09,416.29,2.89,2.59,2.76,2.21,62.11,49.6,26.51,,,,
u-ch427-n1280-pack0-x3,144,455.89,427.27,2.97,2.69,3.07,2.82,64.65,55.27,33.81,,,,
u-ch427-n1280-pack0-x4,144,467.82,368.43,2.56,2.55,2.75,2.43,61.21,49.44,29.13,,,,
u-ch427-n1280-pack0-x5,144,478.09,374.13,2.6,2.38,2.69,2.59,57.15,48.42,31.02,,,,
u-ch427-n1280-pack0-x6,144,443.27,558.12,3.88,4.18,4.68,3.39,100.32,84.23,40.66,,,,
u-ch427-n1280-pack0-x7,144,477.34,508.54,3.53,2.62,2.86,2.32,62.9,51.49,27.85,,,,
u-ch427-n1280-pack0-x8,144,486.41,658.7,4.57,2.73,3.48,2.49,65.4,62.61,29.89,,,,
u-ch427-n1280-pack0-x9,144,431.14,1295.24,8.99,2.14,10.83,1.75,51.39,195.01,21.05,,,,
u-ch427-n1280-pack5-x0,144,461.86,278.06,1.93,1.68,1.71,1.68,40.25,30.84,20.16,,,,
u-ch427-n1280-pack5-x1,144,458.54,263.99,1.83,1.66,1.64,1.64,39.96,29.55,19.66,,,,
u-ch427-n1280-pack5-x2,144,472.21,448.78,3.12,2.94,3.0,2.91,70.52,54.05,34.93,,,,
u-ch427-n1280-pack5-x3,144,470.63,439.24,3.05,2.93,2.26,2.65,70.22,40.65,31.81,,,,
u-ch427-n1280-pack5-x4,144,459.23,428.13,2.97,2.92,2.65,2.66,70.04,47.64,31.96,,,,
u-ch427-n1280-pack5-x5,144,452.9,447.24,3.11,2.83,2.59,2.68,67.94,46.54,32.18,,,,
u-ch427-n1280-pack5-x6,144,478.82,431.53,3.0,2.8,2.5,2.43,67.17,45.0,29.14,,,,
u-ch427-n1280-pack5-x7,144,458.61,522.21,3.63,2.17,3.7,2.14,52.05,66.65,25.65,,,,
u-ch427-n1280-pack5-x8,144,466.95,671.47,4.66,2.99,2.67,2.8,71.74,48.12,33.66,,,,
u-ch427-n1280-pack5-x9,144,460.25,852.02,5.92,1.67,5.9,1.68,40.11,106.18,20.12,,,,
u-ch427-n1280-template-x0,144,476.65,420.31,2.92,2.92,2.97,2.94,70.15,53.43,35.27,,,,
u-ch427-n1280-template-x1,144,461.96,367.2,2.55,2.5,2.37,2.36,59.88,42.58,28.37,,,,
u-ch427-n1280-template-x2,144,442.38,451.97,3.14,2.95,2.73,2.95,70.86,49.05,35.34,,,,
u-ch427-n1280-template-x3,144,459.0,503.34,3.5,3.13,2.93,2.94,75.23,52.7,35.33,,,,
