SUITE,TIME,INITIAL,DUMPCTL
u-bo026-n216,433.051,80.38,29.84
u-bo026-n216-ens12,468.024,36.25,30.01
u-bo026-n216-ens12-r1,472.711,43.28,29.63
u-bo026-n216-ens12-r2,471.279,40.44,29.71
u-bo026-n216-ens12-r3,470.984,42.14,28.91
u-bo026-n216-ens3,432.485,14.61,30.37
u-bo026-n216-ens3-r1,232.674,11.54,29.86
u-bo026-n216-ens3-r2,246.373,14.15,30.03
u-bo026-n216-ens3-r3,243.066,12.29,30.17
u-bo026-n216-ens3-r4,310.013,33.60,29.73
u-bo026-n216-ens6,261.625,18.48,29.77
u-bo026-n216-ens6-r1,451.573,20.38,30.39
u-bo026-n216-ens6-r2,257.646,16.82,29.82
u-bo026-n216-ens6-r3,243.075,12.86,29.83
u-bo026-n216-ens6-r4,699.030,84.32,28.53
u-bo026-n216-ens9,254.446,27.40,29.54
u-bo026-n216-ens9-r1,258.865,31.30,30.26
u-bo026-n216-ens9-r2,261.586,27.52,30.73
u-bo026-n216-ens9-r3,260.590,24.96,30.66
u-bo026-n216-r1,275.854,31.90,28.98
u-bo026-n216-r2,277.082,34.52,29.16
u-bo026-n216-r3,267.758,37.61,29.46
u-bo026-n216-r4,1008.693,347.31,30.30
u-bo026-n512,1008.693,347.31,30.30
u-bo026-n96,122.973,19.29,9.15
u-bo026-n96-ens12,120.776,16.50,8.96
u-bo026-n96-ens12-r1,119.130,19.89,9.23
u-bo026-n96-ens12-r2,92.574,17.64,9.21
u-bo026-n96-ens12-r3,95.073,19.89,9.70
u-bo026-n96-ens2,109.352,1.97,6.90
u-bo026-n96-ens2-2D,110.416,2.10,7.23
u-bo026-n96-ens2-2D-r1,108.761,1.88,6.85
u-bo026-n96-ens2-2D-r2,112.830,1.94,6.55
u-bo026-n96-ens2-2D-r3,154.245,3.75,6.82
u-bo026-n96-ens2-3D,460.693,5.64,6.85
u-bo026-n96-ens2-3D-r1,115.414,2.15,6.93
u-bo026-n96-ens2-3D-r2,103.762,2.28,7.02
u-bo026-n96-ens2-3D-r3,130.208,1.73,6.74
u-bo026-n96-ens2-r1,107.239,2.05,7.20
u-bo026-n96-ens2-r2,163.783,3.86,6.84
u-bo026-n96-ens2-r3,164.937,4.32,6.86
u-bo026-n96-ens3,76.505,7.49,9.29
u-bo026-n96-ens3-r1,72.574,7.46,9.61
u-bo026-n96-ens3-r2,73.676,8.10,9.30
u-bo026-n96-ens3-r3,72.001,8.96,9.18
u-bo026-n96-ens6,78.085,10.17,9.10
u-bo026-n96-ens6-r1,78.085,10.17,9.10
u-bo026-n96-ens6-r2,106.537,9.06,9.36
u-bo026-n96-ens6-r3,105.124,10.95,9.15
u-bo026-n96-ens9,105.355,15.63,9.35
u-bo026-n96-ens9-r1,113.122,12.25,8.88
u-bo026-n96-ens9-r2,110.474,16.12,9.21
u-bo026-n96-ens9-r3,112.929,14.96,8.54
u-bo026-n96-r1,120.128,22.89,9.35
u-bo026-n96-r2,97.137,21.15,9.24
u-bo026-n96-r3,122.062,20.68,9.07
