SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n1280-ens00,,,,,,1280,,,,,,,,
u-ch427-n1280-ens01,,,,,,1280,,,,,,,,
u-ch427-n1280-ens02,,,,,,1280,,,,,,,,
u-ch427-n1280-ens03,,,,,,1280,,,,,,,,
u-ch427-n1280-ens04,,,,,,1280,,,,,,,,
u-ch427-n1280-ens05,,,,,,1280,,,,,,,,
u-ch427-n1280-ens06,,,,,,1280,,,,,,,,
u-ch427-n1280-ens07,,,,,,1280,,,,,,,,
u-ch427-n1280-ens08,,,,,,1280,,,,,,,,
u-ch427-n1280-ens09,,,,,,1280,,,,,,,,
u-ch427-n1280-ens10,,,,,,1280,,,,,,,,
u-ch427-n1280-ens11,,,,,,1280,,,,,,,,
u-ch427-n1280-ens12,,,,,,1280,,,,,,,,
u-ch427-n1280-ens13,,,,,,1280,,,,,,,,
u-ch427-n1280-ens14,,,,,,1280,,,,,,,,
u-ch427-n1280-ens15,,,,,,1280,,,,,,,,
u-ch427-n1280-ens16,,,,,,1280,,,,,,,,
u-ch427-n1280-ens17,,,,,,1280,,,,,,,,
u-ch427-n1280-ens18,,,,,,1280,,,,,,,,
u-ch427-n1280-mf-ens01,,,,,,,,,,,,,,
u-ch427-n1280-oom1,,,,,,,,,,,,,,
u-ch427-n1280-oom2,,,,,,,,,,,,,,
u-ch427-n1280-oom3,,,,,,,,,,,,,,
u-ch427-n1280-oom4,,,,,,,,,,,,,,
u-ch427-n1280-oom5,,,,,,,,,,,,,,
u-ch427-n1280-oom6,,,,,,,,,,,,,,
u-ch427-n1280-oom7,,,,,,,,,,,,,,
u-ch427-n1280-oom8,,,,,,,,,,,,,,
u-ch427-n1280-oom9,,,,,,,,,,,,,,
u-ch427-n1280-single-ens01,,,,,,,,,,,,,,
u-ch427-n1280-start-paper-00,,,,,,,,,,,,,,
u-ch427-n1280-start-paper-01,,,,,,,,,,,,,,
u-ch427-n1280-template,,,,,,,,,,,,,,
u-ch427-n1280-template2,,,,,,,,,,,,,,
u-ch427-n1280-template-start-00,,,,,,,,,,,,,,
u-ch427-n1280-template-start-all,,,,,,,,,,,,,,
u-ch427-n1280-template-start-all2,,,,,,,,,,,,,,
u-ch427-n1280-template-start-paper,,,,,,,,,,,,,,
u-ch427-n1280-template-start-timer,,,,,,,,,,,,,,
u-ch427-n216-ens00, 124.553 ,39.02,,,0,216,22,2021-12-28T00:42:27Z,2021-12-28T00:57:29Z,2021-12-28T00:59:49Z,SUCCEEDED,924805,178377,0.860
u-ch427-n216-ens01, 134.924 ,40.21,,,1,216,22,2021-12-28T00:37:38Z,2021-12-28T00:38:26Z,2021-12-28T00:40:57Z,SUCCEEDED,924772,240098,0.852
u-ch427-n216-ens02, 160.763 ,69.42,,,2,216,36,2021-12-28T00:42:46Z,2021-12-28T00:47:30Z,2021-12-28T00:50:50Z,SUCCEEDED,924807,64937,0.847
u-ch427-n216-ens03, 175.419 ,84.27,,,3,216,50,2021-12-28T00:42:57Z,2021-12-28T01:42:26Z,2021-12-28T01:46:01Z,SUCCEEDED,924808,200926,0.858
u-ch427-n216-ens04, 184.303 ,90.45,,,4,216,64,2021-12-28T00:43:07Z,2021-12-28T01:47:28Z,2021-12-28T01:51:13Z,SUCCEEDED,924810,259341,0.859
u-ch427-n216-ens05, 196.395 ,100.17,,,5,216,78,2021-12-28T00:44:52Z,2021-12-28T01:55:27Z,2021-12-28T01:59:46Z,SUCCEEDED,924819,65069,0.875
u-ch427-n216-ens06, 207.368 ,109.55,,,6,216,92,2021-12-28T00:48:30Z,2021-12-28T02:00:29Z,2021-12-28T02:05:00Z,SUCCEEDED,924830,123842,0.899
u-ch427-n216-ens07, 222.794 ,115.59,,,7,216,106,2021-12-28T00:43:42Z,2021-12-28T01:24:22Z,2021-12-28T01:29:10Z,SUCCEEDED,924815,94505,0.878
