Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x0, true.x0_00.nc, 378M ,386552
, true.x0_01.nc, 366M ,374552
, true.x0_02.nc, 366M ,374552
, true.x0_03.nc, 366M ,374552
, true.x0_04.nc, 366M ,374552
, true.x0_05.nc, 366M ,374552
, true.x0_06.nc, 366M ,374552
, true.x0_07.nc, 366M ,374552
, true.x0_08.nc, 366M ,374552
, true.x0_09.nc, 366M ,374552
, true.x0_10.nc, 366M ,374552
, true.x0_11.nc, 366M ,374552
, true.x0_12.nc, 366M ,374552
, true.x0_13.nc, 366M ,374552
, true.x0_14.nc, 366M ,374552
, true.x0_15.nc, 366M ,374552
, true.x0_16.nc, 366M ,374552
, true.x0_17.nc, 366M ,374552
, true.x0_18.nc, 366M ,374552
, true.x0_19.nc, 366M ,374552
, true.x0_20.nc, 366M ,374552
, true.x0_21.nc, 366M ,374552
, true.x0_22.nc, 366M ,374552
, true.x0_23.nc, 366M ,374552
, true.x0_24.nc, 366M ,374552
, true.x0_25.nc, 366M ,374552
, true.x0_26.nc, 366M ,374552
, true.x0_27.nc, 366M ,374552
, true.x0_28.nc, 366M ,374552
, true.x0_29.nc, 366M ,374552
, true.x0_30.nc, 366M ,374552
, true.x0_31.nc, 366M ,374552
, true.x0_32.nc, 366M ,374552
, true.x0_33.nc, 366M ,374552
, true.x0_34.nc, 366M ,374552
, true.x0_35.nc, 366M ,374552
, true.x0_36.nc, 366M ,374552
, true.x0_37.nc, 366M ,374552
, true.x0_38.nc, 366M ,374552
, true.x0_39.nc, 366M ,374552
, true.x0_40.nc, 366M ,374552
, true.x0_41.nc, 366M ,374552
, true.x0_42.nc, 366M ,374552
, true.x0_43.nc, 366M ,374552
, true.x0_44.nc, 366M ,374552
, true.x0_45.nc, 366M ,374552
, true.x0_46.nc, 366M ,374552
, true.x0_47.nc, 366M ,374552
, true.x0_48.nc, 366M ,374552
, true.x0_49.nc, 366M ,374552
, true.x0_50.nc, 366M ,374552
, true.x0_51.nc, 366M ,374552
, true.x0_52.nc, 366M ,374552
, true.x0_53.nc, 366M ,374552
, true.x0_54.nc, 366M ,374552
, true.x0_55.nc, 366M ,374552
, true.x0_56.nc, 366M ,374552
, true.x0_57.nc, 366M ,374552
, true.x0_58.nc, 366M ,374552
, true.x0_59.nc, 366M ,374552
, true.x0_60.nc, 366M ,374552
, true.x0_61.nc, 366M ,374552
, true.x0_62.nc, 366M ,374552
, true.x0_63.nc, 366M ,374552
u-ch427-n1280-start-paper-pack0-x0,,Total Size,23983328

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x1, true.x0_00.nc, 148M ,151032
, true.x0_01.nc, 168M ,171504
, true.x0_02.nc, 190M ,194460
, true.x0_03.nc, 197M ,200988
, true.x0_04.nc, 195M ,199148
, true.x0_05.nc, 207M ,211108
, true.x0_06.nc, 221M ,226216
, true.x0_07.nc, 241M ,246628
, true.x0_08.nc, 259M ,264684
, true.x0_09.nc, 261M ,266760
, true.x0_10.nc, 261M ,266716
, true.x0_11.nc, 261M ,266676
, true.x0_12.nc, 261M ,266832
, true.x0_13.nc, 261M ,267048
, true.x0_14.nc, 262M ,267580
, true.x0_15.nc, 262M ,268144
, true.x0_16.nc, 262M ,268276
, true.x0_17.nc, 263M ,268672
, true.x0_18.nc, 264M ,269476
, true.x0_19.nc, 264M ,270160
, true.x0_20.nc, 264M ,270208
, true.x0_21.nc, 264M ,269464
, true.x0_22.nc, 263M ,268532
, true.x0_23.nc, 263M ,268812
, true.x0_24.nc, 263M ,268436
, true.x0_25.nc, 262M ,268060
, true.x0_26.nc, 262M ,268272
, true.x0_27.nc, 263M ,268584
, true.x0_28.nc, 263M ,269152
, true.x0_29.nc, 264M ,269612
, true.x0_30.nc, 264M ,269820
, true.x0_31.nc, 264M ,269816
, true.x0_32.nc, 265M ,270396
, true.x0_33.nc, 265M ,270412
, true.x0_34.nc, 264M ,269568
, true.x0_35.nc, 264M ,269456
, true.x0_36.nc, 263M ,269208
, true.x0_37.nc, 262M ,267820
, true.x0_38.nc, 262M ,268020
, true.x0_39.nc, 261M ,267268
, true.x0_40.nc, 261M ,266472
, true.x0_41.nc, 260M ,265948
, true.x0_42.nc, 255M ,261036
, true.x0_43.nc, 252M ,257784
, true.x0_44.nc, 250M ,255004
, true.x0_45.nc, 252M ,257240
, true.x0_46.nc, 254M ,260016
, true.x0_47.nc, 257M ,263016
, true.x0_48.nc, 258M ,264152
, true.x0_49.nc, 259M ,265060
, true.x0_50.nc, 260M ,266164
, true.x0_51.nc, 262M ,267716
, true.x0_52.nc, 262M ,267312
, true.x0_53.nc, 261M ,266616
, true.x0_54.nc, 259M ,264520
, true.x0_55.nc, 259M ,264348
, true.x0_56.nc, 256M ,261604
, true.x0_57.nc, 254M ,259480
, true.x0_58.nc, 251M ,256688
, true.x0_59.nc, 249M ,254512
, true.x0_60.nc, 249M ,254948
, true.x0_61.nc, 251M ,256480
, true.x0_62.nc, 246M ,251880
, true.x0_63.nc, 234M ,239588
u-ch427-n1280-start-paper-pack0-x1,,Total Size,16440608

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x2,,,
u-ch427-n1280-start-paper-pack0-x2,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x3,,,
u-ch427-n1280-start-paper-pack0-x3,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x4,,,
u-ch427-n1280-start-paper-pack0-x4,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x5,,,
u-ch427-n1280-start-paper-pack0-x5,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x6,,,
u-ch427-n1280-start-paper-pack0-x6,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x7,,,
u-ch427-n1280-start-paper-pack0-x7,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-start-paper-pack0-x8, true.x0_00.nc, 378M ,386552
, true.x0_01.nc, 366M ,374552
, true.x0_02.nc, 366M ,374552
, true.x0_03.nc, 366M ,374552
, true.x0_04.nc, 366M ,374552
, true.x0_05.nc, 366M ,374552
, true.x0_06.nc, 366M ,374552
, true.x0_07.nc, 366M ,374552
, true.x0_08.nc, 366M ,374552
, true.x0_09.nc, 366M ,374552
, true.x0_10.nc, 366M ,374552
, true.x0_11.nc, 366M ,374552
, true.x0_12.nc, 366M ,374552
, true.x0_13.nc, 366M ,374552
, true.x0_14.nc, 366M ,374552
, true.x0_15.nc, 366M ,374552
, true.x0_16.nc, 366M ,374552
, true.x0_17.nc, 366M ,374552
