Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-00, test-all-fields-me,  32G ,32735060
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577940
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577944
, test-all-fields-me,  32G ,32577956
, test-all-fields-me,    0 ,0
, test-all-field-std, 970G ,1016492776
u-ch427-n1280-x-ms-00,,Total Size,2059144024

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-01, test-all-fields-me,  12G ,12181572
, test-all-fields-me,  12G ,12451260
, test-all-fields-me,  12G ,12344120
, test-all-fields-me,  12G ,12189456
, test-all-fields-me,  12G ,12016228
, test-all-fields-me,  12G ,12109992
, test-all-fields-me,  12G ,12189376
, test-all-fields-me,  12G ,12119076
, test-all-fields-me,  12G ,12017636
, test-all-fields-me,  12G ,12153608
, test-all-fields-me,  12G ,12301900
, test-all-fields-me,  12G ,12368328
, test-all-fields-me,  12G ,12562964
, test-all-fields-me,  13G ,12742240
, test-all-fields-me,  13G ,12696180
, test-all-fields-me,  13G ,12845920
, test-all-fields-me,  13G ,12751292
, test-all-fields-me,  12G ,12392368
, test-all-fields-me,  12G ,12006932
, test-all-fields-me,  12G ,12033816
, test-all-fields-me,  12G ,12151232
, test-all-fields-me,  12G ,12480612
, test-all-fields-me,  13G ,12764820
, test-all-fields-me,  13G ,12948836
, test-all-fields-me,  13G ,13045668
, test-all-fields-me,  13G ,13029420
, test-all-fields-me,  13G ,13125968
, test-all-fields-me,  14G ,13659124
, test-all-fields-me,  13G ,12994192
, test-all-fields-me,  12G ,11955800
, test-all-fields-me,  11G ,11506380
, test-all-fields-me,  11G ,10587316
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-01,,Total Size,396723632

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-02, test-all-fields-me,  12G ,12128520
, test-all-fields-me,  12G ,12398932
, test-all-fields-me,  12G ,12296392
, test-all-fields-me,  12G ,12143484
, test-all-fields-me,  12G ,11968712
, test-all-fields-me,  12G ,12062332
, test-all-fields-me,  12G ,12142732
, test-all-fields-me,  12G ,12073232
, test-all-fields-me,  12G ,11972704
, test-all-fields-me,  12G ,12109940
, test-all-fields-me,  12G ,12259448
, test-all-fields-me,  12G ,12324864
, test-all-fields-me,  12G ,12519548
, test-all-fields-me,  13G ,12697364
, test-all-fields-me,  13G ,12653004
, test-all-fields-me,  13G ,12802208
, test-all-fields-me,  13G ,12707764
, test-all-fields-me,  12G ,12351072
, test-all-fields-me,  12G ,11965484
, test-all-fields-me,  12G ,11991656
, test-all-fields-me,  12G ,12110252
, test-all-fields-me,  12G ,12439704
, test-all-fields-me,  13G ,12723308
, test-all-fields-me,  13G ,12906580
, test-all-fields-me,  13G ,13002336
, test-all-fields-me,  13G ,12986412
, test-all-fields-me,  13G ,13082032
, test-all-fields-me,  13G ,13612952
, test-all-fields-me,  13G ,12946608
, test-all-fields-me,  12G ,11907172
, test-all-fields-me,  11G ,11456644
, test-all-fields-me,  11G ,10543684
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-02,,Total Size,395287076

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-03, test-all-fields-me,  12G ,12086256
, test-all-fields-me,  12G ,12353908
, test-all-fields-me,  12G ,12251112
, test-all-fields-me,  12G ,12096564
, test-all-fields-me,  12G ,11921544
, test-all-fields-me,  12G ,12015504
, test-all-fields-me,  12G ,12095968
, test-all-fields-me,  12G ,12025716
, test-all-fields-me,  12G ,11924660
, test-all-fields-me,  12G ,12062492
, test-all-fields-me,  12G ,12211880
, test-all-fields-me,  12G ,12277380
, test-all-fields-me,  12G ,12471064
, test-all-fields-me,  13G ,12646160
, test-all-fields-me,  13G ,12602036
, test-all-fields-me,  13G ,12752384
, test-all-fields-me,  13G ,12656864
, test-all-fields-me,  12G ,12304124
, test-all-fields-me,  12G ,11920772
, test-all-fields-me,  12G ,11946272
, test-all-fields-me,  12G ,12064608
, test-all-fields-me,  12G ,12393356
, test-all-fields-me,  13G ,12675564
, test-all-fields-me,  13G ,12857876
, test-all-fields-me,  13G ,12954772
, test-all-fields-me,  13G ,12939984
, test-all-fields-me,  13G ,13035816
, test-all-fields-me,  13G ,13564660
, test-all-fields-me,  13G ,12898892
, test-all-fields-me,  12G ,11861740
, test-all-fields-me,  11G ,11415512
, test-all-fields-me,  11G ,10511664
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-03,,Total Size,393797104

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-04, test-all-fields-me,  12G ,12010396
, test-all-fields-me,  12G ,12267084
, test-all-fields-me,  12G ,12155180
, test-all-fields-me,  12G ,11994156
, test-all-fields-me,  12G ,11818756
, test-all-fields-me,  12G ,11914548
, test-all-fields-me,  12G ,11995024
, test-all-fields-me,  12G ,11926464
, test-all-fields-me,  12G ,11828128
, test-all-fields-me,  12G ,11964340
, test-all-fields-me,  12G ,12107984
, test-all-fields-me,  12G ,12172132
, test-all-fields-me,  12G ,12360924
, test-all-fields-me,  12G ,12529888
, test-all-fields-me,  12G ,12485812
, test-all-fields-me,  13G ,12631168
, test-all-fields-me,  12G ,12536320
, test-all-fields-me,  12G ,12193180
, test-all-fields-me,  12G ,11824632
, test-all-fields-me,  12G ,11848476
, test-all-fields-me,  12G ,11962460
, test-all-fields-me,  12G ,12287716
, test-all-fields-me,  12G ,12566408
, test-all-fields-me,  13G ,12750596
, test-all-fields-me,  13G ,12850528
, test-all-fields-me,  13G ,12835604
, test-all-fields-me,  13G ,12932220
, test-all-fields-me,  13G ,13466620
, test-all-fields-me,  13G ,12799620
, test-all-fields-me,  12G ,11761628
, test-all-fields-me,  11G ,11321216
, test-all-fields-me,  10G ,10422748
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-04,,Total Size,390521956

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-05, test-all-fields-me,  12G ,11973188
, test-all-fields-me,  12G ,12231016
, test-all-fields-me,  12G ,12122940
, test-all-fields-me,  12G ,11964376
, test-all-fields-me,  12G ,11791720
, test-all-fields-me,  12G ,11887564
, test-all-fields-me,  12G ,11968424
, test-all-fields-me,  12G ,11899756
, test-all-fields-me,  12G ,11801636
, test-all-fields-me,  12G ,11936896
, test-all-fields-me,  12G ,12079076
, test-all-fields-me,  12G ,12142228
, test-all-fields-me,  12G ,12329120
, test-all-fields-me,  12G ,12495288
, test-all-fields-me,  12G ,12452164
, test-all-fields-me,  13G ,12596488
, test-all-fields-me,  12G ,12502396
, test-all-fields-me,  12G ,12162740
, test-all-fields-me,  12G ,11798260
, test-all-fields-me,  12G ,11822492
, test-all-fields-me,  12G ,11935804
, test-all-fields-me,  12G ,12259340
, test-all-fields-me,  12G ,12535936
, test-all-fields-me,  13G ,12719020
, test-all-fields-me,  13G ,12819816
, test-all-fields-me,  13G ,12805940
, test-all-fields-me,  13G ,12901820
, test-all-fields-me,  13G ,13434520
, test-all-fields-me,  13G ,12767832
, test-all-fields-me,  12G ,11732336
, test-all-fields-me,  11G ,11291732
, test-all-fields-me,  10G ,10396000
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-05,,Total Size,389557864

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-06, test-all-fields-me,  12G ,11944356
, test-all-fields-me,  12G ,12207000
, test-all-fields-me,  12G ,12100620
, test-all-fields-me,  12G ,11943320
, test-all-fields-me,  12G ,11772416
, test-all-fields-me,  12G ,11868216
, test-all-fields-me,  12G ,11949800
, test-all-fields-me,  12G ,11881412
, test-all-fields-me,  12G ,11783008
, test-all-fields-me,  12G ,11918604
, test-all-fields-me,  12G ,12060704
, test-all-fields-me,  12G ,12123256
, test-all-fields-me,  12G ,12309320
, test-all-fields-me,  12G ,12474348
, test-all-fields-me,  12G ,12431224
, test-all-fields-me,  12G ,12574732
, test-all-fields-me,  12G ,12480508
, test-all-fields-me,  12G ,12142904
, test-all-fields-me,  12G ,11778964
, test-all-fields-me,  12G ,11803644
, test-all-fields-me,  12G ,11917688
, test-all-fields-me,  12G ,12241160
, test-all-fields-me,  12G ,12516396
, test-all-fields-me,  13G ,12698932
, test-all-fields-me,  13G ,12800636
, test-all-fields-me,  13G ,12788000
, test-all-fields-me,  13G ,12882436
, test-all-fields-me,  13G ,13413804
, test-all-fields-me,  13G ,12746884
, test-all-fields-me,  12G ,11712756
, test-all-fields-me,  11G ,11270856
, test-all-fields-me, 9.9G ,10374828
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-06,,Total Size,388912732

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-07, test-all-fields-me,  12G ,11935632
, test-all-fields-me,  12G ,12197336
, test-all-fields-me,  12G ,12091360
, test-all-fields-me,  12G ,11935000
, test-all-fields-me,  12G ,11764796
, test-all-fields-me,  12G ,11860516
, test-all-fields-me,  12G ,11941828
, test-all-fields-me,  12G ,11873664
, test-all-fields-me,  12G ,11775484
, test-all-fields-me,  12G ,11910384
, test-all-fields-me,  12G ,12051772
, test-all-fields-me,  12G ,12113828
, test-all-fields-me,  12G ,12298632
, test-all-fields-me,  12G ,12462312
, test-all-fields-me,  12G ,12419588
, test-all-fields-me,  12G ,12562568
, test-all-fields-me,  12G ,12468952
, test-all-fields-me,  12G ,12133124
, test-all-fields-me,  12G ,11771316
, test-all-fields-me,  12G ,11795596
, test-all-fields-me,  12G ,11908816
, test-all-fields-me,  12G ,12231464
, test-all-fields-me,  12G ,12505320
, test-all-fields-me,  13G ,12687344
, test-all-fields-me,  13G ,12789736
, test-all-fields-me,  13G ,12777488
, test-all-fields-me,  13G ,12871316
, test-all-fields-me,  13G ,13401824
, test-all-fields-me,  13G ,12736344
, test-all-fields-me,  12G ,11704884
, test-all-fields-me,  11G ,11264416
, test-all-fields-me, 9.9G ,10370320
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-07,,Total Size,388612960

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-08, test-all-fields-me,  12G ,11922528
, test-all-fields-me,  12G ,12181656
, test-all-fields-me,  12G ,12072616
, test-all-fields-me,  12G ,11916788
, test-all-fields-me,  12G ,11748328
, test-all-fields-me,  12G ,11845120
, test-all-fields-me,  12G ,11924268
, test-all-fields-me,  12G ,11854460
, test-all-fields-me,  12G ,11757180
, test-all-fields-me,  12G ,11892128
, test-all-fields-me,  12G ,12031056
, test-all-fields-me,  12G ,12093400
, test-all-fields-me,  12G ,12276716
, test-all-fields-me,  12G ,12439240
, test-all-fields-me,  12G ,12397164
, test-all-fields-me,  12G ,12539632
, test-all-fields-me,  12G ,12445632
, test-all-fields-me,  12G ,12112752
, test-all-fields-me,  12G ,11754068
, test-all-fields-me,  12G ,11778296
, test-all-fields-me,  12G ,11888812
, test-all-fields-me,  12G ,12208728
, test-all-fields-me,  12G ,12480168
, test-all-fields-me,  13G ,12662220
, test-all-fields-me,  13G ,12766824
, test-all-fields-me,  13G ,12753004
, test-all-fields-me,  13G ,12846740
, test-all-fields-me,  13G ,13377332
, test-all-fields-me,  13G ,12714636
, test-all-fields-me,  12G ,11687224
, test-all-fields-me,  11G ,11252044
, test-all-fields-me, 9.9G ,10363728
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-08,,Total Size,387984488

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-ms-09, test-all-fields-me,  12G ,11918208
, test-all-fields-me,  12G ,12175160
, test-all-fields-me,  12G ,12064832
, test-all-fields-me,  12G ,11909864
, test-all-fields-me,  12G ,11741784
, test-all-fields-me,  12G ,11838428
, test-all-fields-me,  12G ,11917504
, test-all-fields-me,  12G ,11847568
, test-all-fields-me,  12G ,11750412
, test-all-fields-me,  12G ,11884676
, test-all-fields-me,  12G ,12021668
, test-all-fields-me,  12G ,12083400
, test-all-fields-me,  12G ,12264716
, test-all-fields-me,  12G ,12426048
, test-all-fields-me,  12G ,12384444
, test-all-fields-me,  12G ,12524572
, test-all-fields-me,  12G ,12430600
, test-all-fields-me,  12G ,12101804
, test-all-fields-me,  12G ,11747020
, test-all-fields-me,  12G ,11770952
, test-all-fields-me,  12G ,11880056
, test-all-fields-me,  12G ,12198556
, test-all-fields-me,  12G ,12468936
, test-all-fields-me,  13G ,12650636
, test-all-fields-me,  13G ,12755992
, test-all-fields-me,  13G ,12741300
, test-all-fields-me,  13G ,12834720
, test-all-fields-me,  13G ,13365968
, test-all-fields-me,  13G ,12706320
, test-all-fields-me,  12G ,11682380
, test-all-fields-me,  11G ,11248872
, test-all-fields-me, 9.9G ,10362456
, test-all-fields-me,    0 ,0
u-ch427-n1280-x-ms-09,,Total Size,387699852

