Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-00, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 2.6G ,2662460
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 2.6G ,2662460
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 2.6G ,2662460
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 488M ,499260
, test-m01s05i256-me, 2.6G ,2662460
, test-m01s05i256-me, 2.6G ,2662460
, test-m01s05i256-me, 2.6G ,2662460
u-ch427-n1280-x-00,,Total Size,31951080

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-01, test-m01s05i256-me, 2.3M ,2312
, test-m01s05i256-me, 2.6M ,2600
, test-m01s05i256-me, 5.8M ,5888
, test-m01s05i256-me,  16M ,15848
, test-m01s05i256-me,  51M ,51648
, test-m01s05i256-me,  80M ,80968
, test-m01s05i256-me,  75M ,76548
, test-m01s05i256-me,  73M ,74660
, test-m01s05i256-me,  68M ,68980
, test-m01s05i256-me,  80M ,81156
, test-m01s05i256-me, 103M ,105160
, test-m01s05i256-me,  83M ,84996
, test-m01s05i256-me,  97M ,98772
, test-m01s05i256-me, 110M ,112596
, test-m01s05i256-me, 123M ,125000
, test-m01s05i256-me, 109M ,111564
, test-m01s05i256-me, 120M ,122364
, test-m01s05i256-me, 118M ,120544
, test-m01s05i256-me,  94M ,95236
, test-m01s05i256-me,  66M ,67224
, test-m01s05i256-me,  62M ,63292
, test-m01s05i256-me, 404M ,413252
, test-m01s05i256-me,  66M ,67400
, test-m01s05i256-me,  72M ,73136
, test-m01s05i256-me,  67M ,68488
, test-m01s05i256-me,  50M ,51128
, test-m01s05i256-me,  44M ,44928
, test-m01s05i256-me,  33M ,33692
, test-m01s05i256-me,  24M ,23640
, test-m01s05i256-me,  15M ,15360
, test-m01s05i256-me,  12M ,11280
, test-m01s05i256-me, 7.1M ,7264
, test-m01s05i256-me, 584M ,597964
, test-m01s05i256-me, 2.7M ,2688
, test-m01s05i256-me, 2.4M ,2364
, test-m01s05i256-me, 427M ,437232
, test-m01s05i256-me, 259M ,264828
, test-m01s05i256-me,  45M ,45840
u-ch427-n1280-x-01,,Total Size,3727840

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-02, test-m01s05i256-me, 2.3M ,2312
, test-m01s05i256-me, 2.6M ,2596
, test-m01s05i256-me, 5.8M ,5864
, test-m01s05i256-me,  16M ,15808
, test-m01s05i256-me,  51M ,51436
, test-m01s05i256-me,  79M ,80668
, test-m01s05i256-me,  75M ,76328
, test-m01s05i256-me,  73M ,74496
, test-m01s05i256-me,  68M ,68812
, test-m01s05i256-me,  80M ,80912
, test-m01s05i256-me, 103M ,104796
, test-m01s05i256-me,  83M ,84716
, test-m01s05i256-me,  97M ,98332
, test-m01s05i256-me, 110M ,112004
, test-m01s05i256-me, 122M ,124168
, test-m01s05i256-me, 109M ,110840
, test-m01s05i256-me, 119M ,121412
, test-m01s05i256-me, 117M ,119600
, test-m01s05i256-me,  93M ,94728
, test-m01s05i256-me,  66M ,67004
, test-m01s05i256-me,  62M ,63084
, test-m01s05i256-me, 403M ,412060
, test-m01s05i256-me,  66M ,67212
, test-m01s05i256-me,  72M ,72992
, test-m01s05i256-me,  67M ,68332
, test-m01s05i256-me,  50M ,51060
, test-m01s05i256-me,  44M ,44876
, test-m01s05i256-me,  33M ,33688
, test-m01s05i256-me,  24M ,23612
, test-m01s05i256-me,  15M ,15340
, test-m01s05i256-me,  11M ,11252
, test-m01s05i256-me, 7.1M ,7236
, test-m01s05i256-me, 581M ,594328
, test-m01s05i256-me, 2.7M ,2684
, test-m01s05i256-me, 2.4M ,2368
, test-m01s05i256-me, 425M ,435164
, test-m01s05i256-me, 259M ,264404
, test-m01s05i256-me,  45M ,45752
u-ch427-n1280-x-02,,Total Size,3712276

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-03, test-m01s05i256-me, 2.3M ,2312
, test-m01s05i256-me, 2.6M ,2592
, test-m01s05i256-me, 5.7M ,5816
, test-m01s05i256-me,  16M ,15684
, test-m01s05i256-me,  50M ,51104
, test-m01s05i256-me,  79M ,80324
, test-m01s05i256-me,  75M ,76000
, test-m01s05i256-me,  73M ,74056
, test-m01s05i256-me,  67M ,68272
, test-m01s05i256-me,  79M ,80336
, test-m01s05i256-me, 102M ,104112
, test-m01s05i256-me,  83M ,84016
, test-m01s05i256-me,  96M ,97576
, test-m01s05i256-me, 109M ,111080
, test-m01s05i256-me, 121M ,122968
, test-m01s05i256-me, 108M ,109612
, test-m01s05i256-me, 118M ,120072
, test-m01s05i256-me, 116M ,118136
, test-m01s05i256-me,  92M ,93916
, test-m01s05i256-me,  66M ,66652
, test-m01s05i256-me,  62M ,62788
, test-m01s05i256-me, 400M ,409492
, test-m01s05i256-me,  66M ,66864
, test-m01s05i256-me,  71M ,72592
, test-m01s05i256-me,  67M ,67892
, test-m01s05i256-me,  50M ,50660
, test-m01s05i256-me,  44M ,44632
, test-m01s05i256-me,  33M ,33440
, test-m01s05i256-me,  23M ,23368
, test-m01s05i256-me,  15M ,15212
, test-m01s05i256-me,  11M ,11160
, test-m01s05i256-me, 7.1M ,7176
, test-m01s05i256-me, 575M ,588652
, test-m01s05i256-me, 2.7M ,2676
, test-m01s05i256-me, 2.4M ,2364
, test-m01s05i256-me, 422M ,431740
, test-m01s05i256-me, 257M ,262624
, test-m01s05i256-me,  45M ,45392
u-ch427-n1280-x-03,,Total Size,3683360

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-04, test-m01s05i256-me, 609K ,616
, test-m01s05i256-me, 861K ,868
, test-m01s05i256-me, 3.9M ,3952
, test-m01s05i256-me,  14M ,13396
, test-m01s05i256-me,  47M ,47912
, test-m01s05i256-me,  76M ,76836
, test-m01s05i256-me,  71M ,72524
, test-m01s05i256-me,  70M ,70704
, test-m01s05i256-me,  64M ,65068
, test-m01s05i256-me,  75M ,76724
, test-m01s05i256-me,  90M ,92032
, test-m01s05i256-me,  79M ,79932
, test-m01s05i256-me,  91M ,92916
, test-m01s05i256-me, 104M ,105888
, test-m01s05i256-me, 115M ,117276
, test-m01s05i256-me, 102M ,103936
, test-m01s05i256-me, 112M ,113768
, test-m01s05i256-me, 110M ,111732
, test-m01s05i256-me,  87M ,88900
, test-m01s05i256-me,  62M ,63148
, test-m01s05i256-me,  58M ,59372
, test-m01s05i256-me, 382M ,390888
, test-m01s05i256-me,  62M ,63252
, test-m01s05i256-me,  68M ,68788
, test-m01s05i256-me,  63M ,64116
, test-m01s05i256-me,  47M ,47240
, test-m01s05i256-me,  41M ,41484
, test-m01s05i256-me,  30M ,30472
, test-m01s05i256-me,  21M ,20772
, test-m01s05i256-me,  13M ,12920
, test-m01s05i256-me, 8.9M ,9088
, test-m01s05i256-me, 5.2M ,5252
, test-m01s05i256-me, 547M ,559712
, test-m01s05i256-me, 942K ,948
, test-m01s05i256-me, 659K ,664
, test-m01s05i256-me, 399M ,408516
, test-m01s05i256-me, 240M ,245020
, test-m01s05i256-me,  34M ,34752
u-ch427-n1280-x-04,,Total Size,3461384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x-05, test-m01s05i256-me, 611K ,616
, test-m01s05i256-me, 867K ,872
, test-m01s05i256-me, 3.9M ,3952
, test-m01s05i256-me,  13M ,13308
, test-m01s05i256-me,  47M ,47520
, test-m01s05i256-me,  75M ,76256
, test-m01s05i256-me,  71M ,71964
, test-m01s05i256-me,  69M ,70188
, test-m01s05i256-me,  64M ,64572
, test-m01s05i256-me,  75M ,76080
, test-m01s05i256-me,  90M ,91384
, test-m01s05i256-me,  78M ,79200
, test-m01s05i256-me,  90M ,92020
, test-m01s05i256-me, 103M ,104780
, test-m01s05i256-me, 114M ,115992
, test-m01s05i256-me, 101M ,102760
, test-m01s05i256-me, 110M ,112428
, test-m01s05i256-me, 108M ,110380
, test-m01s05i256-me,  86M ,87980
, test-m01s05i256-me,  62M ,62644
, test-m01s05i256-me,  58M ,58900
, test-m01s05i256-me, 379M ,387768
