Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-00, test-all-fields-me,    0 ,0
, test-all-field-std, 770G ,807099012
u-ch427-n1280-x5-ms-00,,Total Size,807099012

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-01, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-02, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-03, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-04, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-05, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-06, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-07, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-08, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-ms-09, test-all-fields-me,    0 ,0
u-ch427-n1280-x5-ms-09,,Total Size,0

