Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-00,,,
u-ch427-n1280-x5-orig-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-01,,,
u-ch427-n1280-x5-orig-01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-02,,,
u-ch427-n1280-x5-orig-02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-03,,,
u-ch427-n1280-x5-orig-03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-04,,,
u-ch427-n1280-x5-orig-04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-05,,,
u-ch427-n1280-x5-orig-05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-06,,,
u-ch427-n1280-x5-orig-06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-07,,,
u-ch427-n1280-x5-orig-07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-08,,,
u-ch427-n1280-x5-orig-08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-x5-orig-09,,,
u-ch427-n1280-x5-orig-09,,Total Size,0

