Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens00,,,
u-ch427-n216-max18-stdev-one-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens01, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens01,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens02, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8788
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens02,,Total Size,3764388

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens03, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens03,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens04, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens04,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens05, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens05,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens06, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens06,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens07, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens07,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens08, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens08,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens09, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens09,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens10, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens10,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens11, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens11,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens12, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens12,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens13, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens13,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens14, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens14,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens15, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8788
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8788
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens15,,Total Size,3764392

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens16, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens16,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens17, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens17,,Total Size,3764384

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-stdev-one-ens18, test-m01s00i002-st, 727M ,743628
, test-m01s00i003-st, 729M ,745924
, test-m01s00i004-st, 727M ,743628
, test-m01s00i010-st, 727M ,743628
, test-m01s00i012-st, 727M ,743628
, test-m01s00i023-st, 8.6M ,8784
, test-m01s00i024-st, 8.6M ,8784
, test-m01s00i025-st, 8.6M ,8784
, test-m01s00i028-st, 8.6M ,8784
, test-m01s00i029-st, 8.7M ,8812
u-ch427-n216-max18-stdev-one-ens18,,Total Size,3764384

