Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens00,,,,
u-ch427-n216-max18-ens00,,Total Size,0,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens01, test-m01s00i028.nc,  43M ,   44852082,43804
, test-m01s05i256.nc, 2.2G , 2329136516,2274552
u-ch427-n216-max18-ens01,,Total Size,2373988598,2318356

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens02, test-m01s00i028.nc,  52M ,   53810034,52552
, test-m01s05i256.nc, 2.7G , 2794950020,2729448
u-ch427-n216-max18-ens02,,Total Size,2848760054,2782000

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens03, test-m01s00i028.nc,  60M ,   62767986,61300
, test-m01s05i256.nc, 3.1G , 3260763524,3184344
u-ch427-n216-max18-ens03,,Total Size,3323531510,3245644

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens04, test-m01s00i028.nc,  69M ,   71725938,70052
, test-m01s05i256.nc, 3.5G , 3726577028,3639240
u-ch427-n216-max18-ens04,,Total Size,3798302966,3709292

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens05, test-m01s00i028.nc,  77M ,   80683890,78800
, test-m01s05i256.nc, 4.0G , 4192390532,4094136
u-ch427-n216-max18-ens05,,Total Size,4273074422,4172936

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens06, test-m01s00i028.nc,  86M ,   89641842,87548
, test-m01s05i256.nc, 4.4G , 4658204036,4549032
u-ch427-n216-max18-ens06,,Total Size,4747845878,4636580

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens07, test-m01s00i028.nc,  95M ,   98599794,96292
, test-m01s05i256.nc, 4.8G , 5124017540,5003928
u-ch427-n216-max18-ens07,,Total Size,5222617334,5100220

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens08, test-m01s00i028.nc, 103M ,  107557746,105044
, test-m01s05i256.nc, 5.3G , 5589831044,5458824
u-ch427-n216-max18-ens08,,Total Size,5697388790,5563868

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens09, test-m01s00i028.nc, 112M ,  116515698,113792
, test-m01s05i256.nc, 5.7G , 6055644548,5913720
u-ch427-n216-max18-ens09,,Total Size,6172160246,6027512

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens10, test-m01s00i028.nc, 120M ,  125473650,122540
, test-m01s05i256.nc, 6.1G , 6521458052,6368616
u-ch427-n216-max18-ens10,,Total Size,6646931702,6491156

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens11, test-m01s00i028.nc, 129M ,  134431602,131288
, test-m01s05i256.nc, 6.6G , 6987271556,6823512
u-ch427-n216-max18-ens11,,Total Size,7121703158,6954800

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens12, test-m01s00i028.nc, 137M ,  143389554,140036
, test-m01s05i256.nc, 7.0G , 7453085060,7278408
u-ch427-n216-max18-ens12,,Total Size,7596474614,7418444

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens13, test-m01s00i028.nc, 146M ,  152347506,148784
, test-m01s05i256.nc, 7.4G , 7918898564,7733304
u-ch427-n216-max18-ens13,,Total Size,8071246070,7882088

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens14, test-m01s00i028.nc, 154M ,  161305458,157532
, test-m01s05i256.nc, 7.9G , 8384712068,8188200
u-ch427-n216-max18-ens14,,Total Size,8546017526,8345732

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens15, test-m01s00i028.nc, 163M ,  170263410,166280
, test-m01s05i256.nc, 8.3G , 8850525572,8643096
u-ch427-n216-max18-ens15,,Total Size,9020788982,8809376

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens16, test-m01s00i028.nc, 171M ,  179221362,175028
, test-m01s05i256.nc, 8.7G , 9316339076,9097992
u-ch427-n216-max18-ens16,,Total Size,9495560438,9273020

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens17, test-m01s00i028.nc, 180M ,  188179314,183776
, test-m01s05i256.nc, 9.2G , 9782152580,9552888
u-ch427-n216-max18-ens17,,Total Size,9970331894,9736664

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n216-max18-ens18, test-m01s00i028.nc, 189M ,   19713726,192524
, test-m01s05i256.nc, 9.6G , 1024796608,10007784
u-ch427-n216-max18-ens18,,Total Size,1044510334,10200308

