Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens00,,,
u-ch427-n512-max18-stdev-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens01, test-m01s00i028-st,  49M ,49192
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens01,,Total Size,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens02, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens02,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens03, test-m01s00i028-st,  49M ,49192
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens03,,Total Size,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens04, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens04,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens05, test-m01s00i028-st,  49M ,49192
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens05,,Total Size,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens06, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens06,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens07, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens07,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens08, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens08,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens09, test-m01s00i028-st,  49M ,49192
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens09,,Total Size,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens10, test-m01s00i028-st,  49M ,49196
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens10,,Total Size,2605152

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens11, test-m01s00i028-st,  49M ,49192
, test-m01s05i256-st, 2.5G ,2555956
u-ch427-n512-max18-stdev-ens11,,Total Size,2605148

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-stdev-ens12, test-m01s00i002-st, 4.0G ,4177972
, test-m01s00i003-st, 4.0G ,4183412
, test-m01s00i004-st, 4.0G ,4177972
, test-m01s00i010-st, 4.0G ,4177972
, test-m01s00i012-st, 4.0G ,4177972
, test-m01s00i023-st,  49M ,49196
, test-m01s00i024-st,  49M ,49196
, test-m01s00i025-st,  49M ,49192
, test-m01s00i028-st,  49M ,49196
, test-m01s00i029-st,  49M ,49260
, test-m01s00i030-st,  49M ,49196
, test-m01s00i031-st,  49M ,49196
, test-m01s00i032-st,  49M ,49196
, test-m01s00i033-st,  49M ,49196
, test-m01s00i211-st, 4.0G ,4177972
, test-m01s00i254-st, 4.0G ,4177972
, test-m01s00i266-st, 4.0G ,4177972
, test-m01s00i407_2-, 4.0G ,4177972
, test-m01s00i407-st, 2.5G ,2555956
, test-m01s00i408_2-, 4.0G ,4177972
, test-m01s00i408-st, 577M ,589872
, test-m01s00i409-st,  49M ,49196
, test-m01s00i507-st,  49M ,49192
, test-m01s00i508-st,  49M ,49192
, test-m01s00i509-st,  49M ,49196
, test-m01s01i201-st,  49M ,49196
, test-m01s01i203-st,  49M ,49192
, test-m01s01i207-st,  49M ,49196
, test-m01s01i208-st,  49M ,49192
, test-m01s01i209-st,  49M ,49192
, test-m01s01i210-st,  49M ,49196
