Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens00,,,
u-ch427-n512-max18-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens01, test-m01s00i028.nc, 241M ,245832
, test-m01s05i256.nc,  13G ,12779600
u-ch427-n512-max18-ens01,,Total Size,13025432

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens02, test-m01s00i028.nc, 289M ,294984
, test-m01s05i256.nc,  15G ,15335504
u-ch427-n512-max18-ens02,,Total Size,15630488

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens03, test-m01s00i028.nc, 337M ,344136
, test-m01s05i256.nc,  18G ,17891412
u-ch427-n512-max18-ens03,,Total Size,18235548

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens04, test-m01s00i028.nc, 385M ,393288
, test-m01s05i256.nc,  20G ,20447316
u-ch427-n512-max18-ens04,,Total Size,20840604

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens05, test-m01s00i028.nc, 433M ,442440
, test-m01s05i256.nc,  22G ,23003216
u-ch427-n512-max18-ens05,,Total Size,23445656

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens06, test-m01s00i028.nc, 481M ,491592
, test-m01s05i256.nc,  25G ,25559124
u-ch427-n512-max18-ens06,,Total Size,26050716

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens07, test-m01s00i028.nc, 529M ,540744
, test-m01s05i256.nc,  27G ,28115028
u-ch427-n512-max18-ens07,,Total Size,28655772

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens08, test-m01s00i028.nc, 577M ,589896
, test-m01s05i256.nc,  30G ,30670932
u-ch427-n512-max18-ens08,,Total Size,31260828

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens09, test-m01s00i028.nc, 625M ,639048
, test-m01s05i256.nc,  32G ,33226844
u-ch427-n512-max18-ens09,,Total Size,33865892

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens10, test-m01s00i028.nc, 673M ,688200
, test-m01s05i256.nc,  35G ,35782748
u-ch427-n512-max18-ens10,,Total Size,36470948

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens11, test-m01s00i028.nc, 721M ,737352
, test-m01s05i256.nc,  37G ,38338652
u-ch427-n512-max18-ens11,,Total Size,39076004

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens12, test-m01s00i028.nc, 769M ,786504
, test-m01s05i256.nc,  40G ,40894556
u-ch427-n512-max18-ens12,,Total Size,41681060

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens13, test-m01s00i028.nc, 817M ,835656
, test-m01s05i256.nc,  42G ,43450464
u-ch427-n512-max18-ens13,,Total Size,44286120

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens14, test-m01s00i028.nc, 865M ,884808
, test-m01s05i256.nc,  44G ,46006364
u-ch427-n512-max18-ens14,,Total Size,46891172

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens15, test-m01s00i028.nc, 913M ,933960
, test-m01s05i256.nc,  47G ,48562272
u-ch427-n512-max18-ens15,,Total Size,49496232

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens16, test-m01s00i028.nc, 961M ,983112
, test-m01s05i256.nc,  49G ,51118180
u-ch427-n512-max18-ens16,,Total Size,52101292

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens17,0 test-m01s00i028.n, 1009M,1032264
,0 test-m01s05i256.n,   52G,53674080
u-ch427-n512-max18-ens17,,Total Size,54706344

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-max18-ens18, test-m01s00i028.nc, 1.1G ,1081416
, test-m01s05i256.nc,  54G ,56229984
u-ch427-n512-max18-ens18,,Total Size,57311400

