Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-start-paper-x0-13, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, true.x0_00.nc, 4.1G ,4244520
, true.x0_01.nc, 4.2G ,4403812
, true.x0_02.nc, 4.3G ,4484076
, true.x0_03.nc, 4.4G ,4558940
, true.x0_04.nc, 4.4G ,4605600
, true.x0_05.nc, 4.5G ,4635408
, true.x0_06.nc, 4.5G ,4649288
, true.x0_07.nc, 4.5G ,4648080
, true.x0_08.nc, 4.5G ,4650516
, true.x0_09.nc, 4.5G ,4664676
, true.x0_10.nc, 4.5G ,4660120
, true.x0_11.nc, 4.5G ,4659924
, true.x0_12.nc, 4.5G ,4647464
, true.x0_13.nc, 4.5G ,4637068
, true.x0_14.nc, 4.5G ,4633572
, true.x0_15.nc, 4.5G ,4642352
, true.x0_16.nc, 4.5G ,4668936
, true.x0_17.nc, 4.5G ,4680240
, true.x0_18.nc, 4.3G ,4507268
, true.x0_19.nc, 4.4G ,4511948
, true.x0_20.nc, 4.4G ,4511796
, true.x0_21.nc, 4.3G ,4501228
, true.x0_22.nc, 4.3G ,4483072
, true.x0_23.nc, 4.3G ,4474840
, true.x0_24.nc, 4.3G ,4474000
, true.x0_25.nc, 4.3G ,4459384
, true.x0_26.nc, 4.3G ,4430276
, true.x0_27.nc, 4.2G ,4389840
, true.x0_28.nc, 4.2G ,4307304
, true.x0_29.nc, 4.0G ,4138024
u-ch427-n512-start-paper-x0-13,,Total Size,135963580

