Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens00,,,
u-ch427-n96-max18-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens01, test-m01s00i028.nc, 8.5M ,8700
, test-m01s05i256.nc, 439M ,449352
u-ch427-n96-max18-ens01,,Total Size,458052

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens02, test-m01s00i028.nc,  11M ,10428
, test-m01s05i256.nc, 527M ,539208
u-ch427-n96-max18-ens02,,Total Size,549636

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens03, test-m01s00i028.nc,  12M ,12156
, test-m01s05i256.nc, 615M ,629064
u-ch427-n96-max18-ens03,,Total Size,641220

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens04, test-m01s00i028.nc,  14M ,13884
, test-m01s05i256.nc, 703M ,718920
u-ch427-n96-max18-ens04,,Total Size,732804

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens05, test-m01s00i028.nc,  16M ,15612
, test-m01s05i256.nc, 790M ,808776
u-ch427-n96-max18-ens05,,Total Size,824388

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens06, test-m01s00i028.nc,  17M ,17340
, test-m01s05i256.nc, 878M ,898632
u-ch427-n96-max18-ens06,,Total Size,915972

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens07, test-m01s00i028.nc,  19M ,19068
, test-m01s05i256.nc, 966M ,988488
u-ch427-n96-max18-ens07,,Total Size,1007556

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens08, test-m01s00i028.nc,  21M ,20796
, test-m01s05i256.nc, 1.1G ,1078344
u-ch427-n96-max18-ens08,,Total Size,1099140

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens09, test-m01s00i028.nc,  22M ,22524
, test-m01s05i256.nc, 1.2G ,1168200
u-ch427-n96-max18-ens09,,Total Size,1190724

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens10, test-m01s00i028.nc,  24M ,24252
, test-m01s05i256.nc, 1.2G ,1258056
u-ch427-n96-max18-ens10,,Total Size,1282308

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens11, test-m01s00i028.nc,  26M ,25980
, test-m01s05i256.nc, 1.3G ,1347912
u-ch427-n96-max18-ens11,,Total Size,1373892

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens12, test-m01s00i028.nc,  28M ,27708
, test-m01s05i256.nc, 1.4G ,1437768
u-ch427-n96-max18-ens12,,Total Size,1465476

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens13, test-m01s00i028.nc,  29M ,29436
, test-m01s05i256.nc, 1.5G ,1527624
u-ch427-n96-max18-ens13,,Total Size,1557060

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens14, test-m01s00i028.nc,  31M ,31164
, test-m01s05i256.nc, 1.6G ,1617480
u-ch427-n96-max18-ens14,,Total Size,1648644

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens15, test-m01s00i028.nc,  33M ,32892
, test-m01s05i256.nc, 1.7G ,1707336
u-ch427-n96-max18-ens15,,Total Size,1740228

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens16, test-m01s00i028.nc,  34M ,34624
, test-m01s05i256.nc, 1.8G ,1797192
u-ch427-n96-max18-ens16,,Total Size,1831816

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens17, test-m01s00i028.nc,  36M ,36348
, test-m01s05i256.nc, 1.8G ,1887048
u-ch427-n96-max18-ens17,,Total Size,1923396

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-ens18, test-m01s00i028.nc,  38M ,38076
, test-m01s05i256.nc, 1.9G ,1976904
u-ch427-n96-max18-ens18,,Total Size,2014980

