Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00, inc_days.py, 2.4K ,4
, inc_days.pyc, 2.3K ,4
, mean_0.nc, 992M ,1015136
, mean_0-nc.txt, 2.8G ,2897076
, mean_1.nc, 991M ,1014236
, mean_2.nc, 991M ,1014236
, mean_3.nc, 991M ,1014236
, mean_4.nc, 991M ,1014236
, mean_5.nc, 991M ,1014236
, stdev_0.nc, 992M ,1015136
, stdev_1.nc, 991M ,1014236
, stdev_2.nc, 991M ,1014236
, stdev_3.nc, 991M ,1014236
, stdev_4.nc, 991M ,1014236
, stdev_5.nc, 991M ,1014236
u-ch427-n96-template-start-paper-ms-00,,Total Size,15069716

