Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x0, test-all-fields-me,  63G ,65311472
, test-all-fields-me,  63G ,65154344
, test-all-fields-me,  63G ,65154356
, test-all-fields-me,  63G ,65154352
, test-all-fields-me,  63G ,65154352
, test-all-fields-me,  63G ,65154352
, test-all-fields-me,  63G ,65154352
, test-all-fields-me,  63G ,65154344
, test-all-fields-me,  63G ,65154344
, test-all-fields-me,  63G ,65154352
, test-all-fields-me,  63G ,65154344
, test-all-fields-me,  63G ,65154344
, test-all-fields-me,  63G ,65154352
, test-all-fields-me,  63G ,65154356
, test-all-fields-me,  63G ,65154356
, test-all-fields-me,  63G ,65154352
u-ch427-n1280-pack5-x0,,Total Size,1042626724

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x1, test-all-fields-me,  13G ,12763872
, test-all-fields-me,  13G ,13350564
, test-all-fields-me,  14G ,13743260
, test-all-fields-me,  14G ,13905552
, test-all-fields-me,  14G ,13754292
, test-all-fields-me,  14G ,14063700
, test-all-fields-me,  14G ,14472528
, test-all-fields-me,  14G ,14596144
, test-all-fields-me,  14G ,14335708
, test-all-fields-me,  13G ,13508056
, test-all-fields-me,  14G ,13930136
, test-all-fields-me,  15G ,14789716
, test-all-fields-me,  15G ,14844940
, test-all-fields-me,  15G ,15066336
, test-all-fields-me,  14G ,13702372
, test-all-fields-me,  12G ,11568888
u-ch427-n1280-pack5-x1,,Total Size,222396064

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x2,,,
u-ch427-n1280-pack5-x2,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x3,,,
u-ch427-n1280-pack5-x3,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x4,,,
u-ch427-n1280-pack5-x4,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x5,,,
u-ch427-n1280-pack5-x5,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x6,,,
u-ch427-n1280-pack5-x6,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x7,,,
u-ch427-n1280-pack5-x7,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x8,,,
u-ch427-n1280-pack5-x8,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n1280-pack5-x9, test-all-fields-me,  12G ,12148372
, test-all-fields-me,  13G ,12728992
, test-all-fields-me,  13G ,13120204
, test-all-fields-me,  13G ,13283780
, test-all-fields-me,  13G ,13136024
, test-all-fields-me,  13G ,13424608
, test-all-fields-me,  14G ,13796616
, test-all-fields-me,  14G ,13905708
, test-all-fields-me,  14G ,13663236
, test-all-fields-me,  13G ,12904924
, test-all-fields-me,  13G ,13307260
, test-all-fields-me,  14G ,14136484
, test-all-fields-me,  14G ,14204496
, test-all-fields-me,  14G ,14418484
, test-all-fields-me,  13G ,13069104
, test-all-fields-me,  11G ,10994320
u-ch427-n1280-pack5-x9,,Total Size,212242612

