Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper-x-00,,,
u-ch427-n512-template-start-paper-x-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper-x-00,,,
u-ch427-n512-template-start-paper-x-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper-x-00,,,
u-ch427-n512-template-start-paper-x-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper-x-00,,,
u-ch427-n512-template-start-paper-x-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper-x-00,,,
u-ch427-n512-template-start-paper-x-00,,Total Size,0

