Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n512-template-start-paper,,,
u-ch427-n512-template-start-paper,,Total Size,0

