Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens00,,,
u-ch427-n96-max18-stdev-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens01,,,
u-ch427-n96-max18-stdev-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens02,,,
u-ch427-n96-max18-stdev-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens03,,,
u-ch427-n96-max18-stdev-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens04,,,
u-ch427-n96-max18-stdev-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens05,,,
u-ch427-n96-max18-stdev-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens06,,,
u-ch427-n96-max18-stdev-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens07,,,
u-ch427-n96-max18-stdev-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens08,,,
u-ch427-n96-max18-stdev-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens09,,,
u-ch427-n96-max18-stdev-ens09,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens10,,,
u-ch427-n96-max18-stdev-ens10,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens11,,,
u-ch427-n96-max18-stdev-ens11,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens12,,,
u-ch427-n96-max18-stdev-ens12,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens13,,,
u-ch427-n96-max18-stdev-ens13,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens14,,,
u-ch427-n96-max18-stdev-ens14,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens15,,,
u-ch427-n96-max18-stdev-ens15,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens16,,,
u-ch427-n96-max18-stdev-ens16,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens17,,,
u-ch427-n96-max18-stdev-ens17,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens18,,,
u-ch427-n96-max18-stdev-ens18,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens00,,,
u-ch427-n96-max18-stdev-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens01,,,
u-ch427-n96-max18-stdev-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens02,,,
u-ch427-n96-max18-stdev-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens03,,,
u-ch427-n96-max18-stdev-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens04,,,
u-ch427-n96-max18-stdev-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens05,,,
u-ch427-n96-max18-stdev-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens06,,,
u-ch427-n96-max18-stdev-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens07,,,
u-ch427-n96-max18-stdev-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens08,,,
u-ch427-n96-max18-stdev-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens09,,,
u-ch427-n96-max18-stdev-ens09,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens10,,,
u-ch427-n96-max18-stdev-ens10,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens11,,,
u-ch427-n96-max18-stdev-ens11,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens12,,,
u-ch427-n96-max18-stdev-ens12,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens13,,,
u-ch427-n96-max18-stdev-ens13,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens14,,,
u-ch427-n96-max18-stdev-ens14,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-max18-stdev-ens15,,,
