Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens00,,,
u-ch427-n96-start-paper-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens01,,,
u-ch427-n96-start-paper-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens02,,,
u-ch427-n96-start-paper-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens03,,,
u-ch427-n96-start-paper-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens04,,,
u-ch427-n96-start-paper-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens05,,,
u-ch427-n96-start-paper-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens06,,,
u-ch427-n96-start-paper-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens07,,,
u-ch427-n96-start-paper-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens08,,,
u-ch427-n96-start-paper-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens09,,,
u-ch427-n96-start-paper-ens09,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens10,,,
u-ch427-n96-start-paper-ens10,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens11,,,
u-ch427-n96-start-paper-ens11,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens12,,,
u-ch427-n96-start-paper-ens12,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens13,,,
u-ch427-n96-start-paper-ens13,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens14,,,
u-ch427-n96-start-paper-ens14,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-start-paper-ens15,,,
u-ch427-n96-start-paper-ens15,,Total Size,0

