Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens00,,,
u-ch427-n96-template-start-paper-00-ens00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens01,,,
u-ch427-n96-template-start-paper-00-ens01,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens02,,,
u-ch427-n96-template-start-paper-00-ens02,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens03,,,
u-ch427-n96-template-start-paper-00-ens03,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens04,,,
u-ch427-n96-template-start-paper-00-ens04,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens05,,,
u-ch427-n96-template-start-paper-00-ens05,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens06,,,
u-ch427-n96-template-start-paper-00-ens06,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens07,,,
u-ch427-n96-template-start-paper-00-ens07,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens08,,,
u-ch427-n96-template-start-paper-00-ens08,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens09,,,
u-ch427-n96-template-start-paper-00-ens09,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens10,,,
u-ch427-n96-template-start-paper-00-ens10,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens11,,,
u-ch427-n96-template-start-paper-00-ens11,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens12,,,
u-ch427-n96-template-start-paper-00-ens12,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens13,,,
u-ch427-n96-template-start-paper-00-ens13,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens14,,,
u-ch427-n96-template-start-paper-00-ens14,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens15,,,
u-ch427-n96-template-start-paper-00-ens15,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens16,,,
u-ch427-n96-template-start-paper-00-ens16,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens17,,,
u-ch427-n96-template-start-paper-00-ens17,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00-ens18,,,
u-ch427-n96-template-start-paper-00-ens18,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00,,,
u-ch427-n96-template-start-paper-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00,,,
u-ch427-n96-template-start-paper-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00,,,
u-ch427-n96-template-start-paper-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00,,,
u-ch427-n96-template-start-paper-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-00,,,
u-ch427-n96-template-start-paper-00,,Total Size,0

