Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

Suite, Netcdf File, Size, Size (bytes)
u-ch427-n96-template-start-paper-ms-00,,,
u-ch427-n96-template-start-paper-ms-00,,Total Size,0

