Total Size,u-ch427-n96-max18-ens00,0,0
Total Size,u-ch427-n96-max18-ens01,1,458052
Total Size,u-ch427-n96-max18-ens02,2,549636
Total Size,u-ch427-n96-max18-ens03,3,641220
Total Size,u-ch427-n96-max18-ens04,4,732804
Total Size,u-ch427-n96-max18-ens05,5,824388
Total Size,u-ch427-n96-max18-ens06,6,915972
Total Size,u-ch427-n96-max18-ens07,7,1007556
Total Size,u-ch427-n96-max18-ens08,8,1099140
Total Size,u-ch427-n96-max18-ens09,9,1190724
Total Size,u-ch427-n96-max18-ens10,10,1282308
Total Size,u-ch427-n96-max18-ens11,11,1373892
Total Size,u-ch427-n96-max18-ens12,12,1465476
Total Size,u-ch427-n96-max18-ens13,13,1557060
Total Size,u-ch427-n96-max18-ens14,14,1648644
Total Size,u-ch427-n96-max18-ens15,15,1740228
Total Size,u-ch427-n96-max18-ens16,16,1831816
Total Size,u-ch427-n96-max18-ens17,17,1923396
Total Size,u-ch427-n96-max18-ens18,18,2014980
   
   
   
Total Size,u-ch427-n96-max18-mf-ens00,0,0
Total Size,u-ch427-n96-max18-mf-ens01,1,975216
Total Size,u-ch427-n96-max18-mf-ens02,2,1168592
Total Size,u-ch427-n96-max18-mf-ens03,3,1362248
Total Size,u-ch427-n96-max18-mf-ens04,4,1555876
Total Size,u-ch427-n96-max18-mf-ens05,5,1749520
Total Size,u-ch427-n96-max18-mf-ens06,6,1943528
Total Size,u-ch427-n96-max18-mf-ens07,7,2136812
Total Size,u-ch427-n96-max18-mf-ens08,8,2330720
Total Size,u-ch427-n96-max18-mf-ens09,9,2524096
Total Size,u-ch427-n96-max18-mf-ens10,10,2717752
Total Size,u-ch427-n96-max18-mf-ens11,11,2911380
Total Size,u-ch427-n96-max18-mf-ens12,12,3105152
Total Size,u-ch427-n96-max18-mf-ens13,13,3298800
Total Size,u-ch427-n96-max18-mf-ens14,14,3492332
Total Size,u-ch427-n96-max18-mf-ens15,15,3686020
Total Size,u-ch427-n96-max18-mf-ens16,16,3879800
Total Size,u-ch427-n96-max18-mf-ens17,17,4073684
Total Size,u-ch427-n96-max18-mf-ens18,18,4267296
   
   
   
Total Size,u-ch427-n96-max18-single-ens00,0,0
Total Size,u-ch427-n96-max18-single-ens01,1,91664
Total Size,u-ch427-n96-max18-single-ens02,2,91664
Total Size,u-ch427-n96-max18-single-ens03,3,91664
Total Size,u-ch427-n96-max18-single-ens04,4,91668
