Total Size,u-ch427-n216-max18-stdev-ens00,0,0
Total Size,u-ch427-n216-max18-stdev-ens01,1,463728
Total Size,u-ch427-n216-max18-stdev-ens02,2,463732
Total Size,u-ch427-n216-max18-stdev-ens03,3,463728
Total Size,u-ch427-n216-max18-stdev-ens04,4,463732
Total Size,u-ch427-n216-max18-stdev-ens05,5,463728
Total Size,u-ch427-n216-max18-stdev-ens06,6,463728
Total Size,u-ch427-n216-max18-stdev-ens07,7,463728
Total Size,u-ch427-n216-max18-stdev-ens08,8,463728
Total Size,u-ch427-n216-max18-stdev-ens09,9,463728
Total Size,u-ch427-n216-max18-stdev-ens10,10,463728
Total Size,u-ch427-n216-max18-stdev-ens11,11,463728
Total Size,u-ch427-n216-max18-stdev-ens12,12,463728
Total Size,u-ch427-n216-max18-stdev-ens13,13,463728
Total Size,u-ch427-n216-max18-stdev-ens14,14,463728
Total Size,u-ch427-n216-max18-stdev-ens15,15,463728
Total Size,u-ch427-n216-max18-stdev-ens16,16,463728
Total Size,u-ch427-n216-max18-stdev-ens17,17,463728
Total Size,u-ch427-n216-max18-stdev-ens18,18,463728
