Total Size,u-ch427-n512-max18-stdev-one-ens00,0,0
Total Size,u-ch427-n512-max18-stdev-one-ens01,1,21141336
Total Size,u-ch427-n512-max18-stdev-one-ens02,2,21141340
Total Size,u-ch427-n512-max18-stdev-one-ens03,3,21141344
Total Size,u-ch427-n512-max18-stdev-one-ens04,4,21141344
Total Size,u-ch427-n512-max18-stdev-one-ens05,5,21141340
Total Size,u-ch427-n512-max18-stdev-one-ens06,6,21141336
Total Size,u-ch427-n512-max18-stdev-one-ens07,7,21141332
Total Size,u-ch427-n512-max18-stdev-one-ens08,8,21141332
Total Size,u-ch427-n512-max18-stdev-one-ens09,9,21141336
Total Size,u-ch427-n512-max18-stdev-one-ens10,10,21141332
Total Size,u-ch427-n512-max18-stdev-one-ens11,11,21141336
Total Size,u-ch427-n512-max18-stdev-one-ens12,12,21141344
Total Size,u-ch427-n512-max18-stdev-one-ens13,13,21141340
Total Size,u-ch427-n512-max18-stdev-one-ens14,14,21141336
Total Size,u-ch427-n512-max18-stdev-one-ens15,15,21141336
Total Size,u-ch427-n512-max18-stdev-one-ens16,16,21141328
Total Size,u-ch427-n512-max18-stdev-one-ens17,17,21141340
Total Size,u-ch427-n512-max18-stdev-one-ens18,18,21141340
