Total Size,u-ch427-n96-max18-mf-ens00,0,total
Total Size,u-ch427-n96-max18-mf-ens01,1,total
Total Size,u-ch427-n96-max18-mf-ens02,2,total
Total Size,u-ch427-n96-max18-mf-ens03,3,total
Total Size,u-ch427-n96-max18-mf-ens04,4,total
Total Size,u-ch427-n96-max18-mf-ens05,5,total
Total Size,u-ch427-n96-max18-mf-ens06,6,total
Total Size,u-ch427-n96-max18-mf-ens07,7,total
Total Size,u-ch427-n96-max18-mf-ens08,8,total
Total Size,u-ch427-n96-max18-mf-ens09,9,total
Total Size,u-ch427-n96-max18-mf-ens10,10,total
Total Size,u-ch427-n96-max18-mf-ens11,11,total
Total Size,u-ch427-n96-max18-mf-ens12,12,total
Total Size,u-ch427-n96-max18-mf-ens13,13,total
Total Size,u-ch427-n96-max18-mf-ens14,14,total
Total Size,u-ch427-n96-max18-mf-ens15,15,total
Total Size,u-ch427-n96-max18-mf-ens16,16,total
Total Size,u-ch427-n96-max18-mf-ens17,17,total
Total Size,u-ch427-n96-max18-mf-ens18,18,total
