
Total Size,u-ch427-n96-max18-single-ens00,0,0,0

Total Size,u-ch427-n96-max18-single-ens01,1,93855346,91664

Total Size,u-ch427-n96-max18-single-ens02,2,93855346,91664

Total Size,u-ch427-n96-max18-single-ens03,3,93855346,91664

Total Size,u-ch427-n96-max18-single-ens04,4,93855346,91668

Total Size,u-ch427-n96-max18-single-ens05,5,93855346,91664

Total Size,u-ch427-n96-max18-single-ens06,6,93855346,91664

Total Size,u-ch427-n96-max18-single-ens07,7,93855346,91664

Total Size,u-ch427-n96-max18-single-ens08,8,93855346,91664

Total Size,u-ch427-n96-max18-single-ens09,9,93855346,91660

Total Size,u-ch427-n96-max18-single-ens10,10,93855346,91664

Total Size,u-ch427-n96-max18-single-ens11,11,93855346,91664

Total Size,u-ch427-n96-max18-single-ens12,12,93855346,91664

Total Size,u-ch427-n96-max18-single-ens13,13,93855346,91664

Total Size,u-ch427-n96-max18-single-ens14,14,93855346,91664

Total Size,u-ch427-n96-max18-single-ens15,15,93855346,91664

Total Size,u-ch427-n96-max18-single-ens16,16,93855346,91664

Total Size,u-ch427-n96-max18-single-ens17,17,93855346,91664

Total Size,u-ch427-n96-max18-single-ens18,18,93855346,91668
