
Total Size,u-ch427-n96-max18-ens00,0,0,0

Total Size,u-ch427-n96-max18-ens01,1,469037302,458052

Total Size,u-ch427-n96-max18-ens02,2,562819318,549636

Total Size,u-ch427-n96-max18-ens03,3,656601334,641220

Total Size,u-ch427-n96-max18-ens04,4,750383350,732804

Total Size,u-ch427-n96-max18-ens05,5,844165366,824388

Total Size,u-ch427-n96-max18-ens06,6,937947382,915972

Total Size,u-ch427-n96-max18-ens07,7,1031729398,1007556

Total Size,u-ch427-n96-max18-ens08,8,1125511414,1099140

Total Size,u-ch427-n96-max18-ens09,9,1219293430,1190724

Total Size,u-ch427-n96-max18-ens10,10,1313075446,1282308

Total Size,u-ch427-n96-max18-ens11,11,1406857462,1373892

Total Size,u-ch427-n96-max18-ens12,12,1500639478,1465476

Total Size,u-ch427-n96-max18-ens13,13,1594421494,1557060

Total Size,u-ch427-n96-max18-ens14,14,1688203510,1648644

Total Size,u-ch427-n96-max18-ens15,15,1781985526,1740228

Total Size,u-ch427-n96-max18-ens16,16,1875767542,1831816

Total Size,u-ch427-n96-max18-ens17,17,1969549558,1923396

Total Size,u-ch427-n96-max18-ens18,18,2063331574,2014980
